title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Migrating Applications to the Cloud with Azure,"['Sjoukje Zaal', 'Amit Malik', 'Sander Rossel']",2019-12-06,['Computers'],"Modernize your apps with Microsoft Azure by moving web, desktop, and mobile apps to the cloud Key Features Decide which migration strategy is most suitable for your organization and create a migration roadmap Move existing infrastructure to Azure and learn strategies to reduce cost, increase storage, and improve ROI Design secure, scalable, and cost-effective solutions with the help of practical examples Book Description Whether you are trying to re-architect a legacy app or build a cloud-ready app from scratch, using the Azure ecosystem with .NET and Java technologies helps you to strategize and plan your app modernization process effectively. With this book, you'll learn how to modernize your applications by using Azure for containerization, DevOps, microservices, and serverless solutions to reduce development time and costs, while also making your applications robust, secure, and scalable. You will delve into improving application efficiency by using container services such as Azure Container Service, Azure Kubernetes Service (AKS), and more. Next, you will learn to modernize your application by implementing DevOps throughout your application development life cycle. You will then focus on increasing the scalability and performance of your overall application with microservices, before learning how to add extra functionality to your application with Azure serverless solutions. Finally, you'll get up to speed with monitoring and troubleshooting techniques. By the end of this book, you will have learned how to use the Azure ecosystem to refactor, re-architect, and rebuild your web, mobile, and desktop applications. What you will learn Use DevOps and containerization technologies to modernize your applications and infrastructure Build microservices using Azure Service Fabric Develop scalable applications using Azure Functions Manage and deploy your application code and database connectivity Secure and monitor your applications in Azure effectively Design for high availability and disaster recovery Who this book is for This book is for.NET and Java developers who want to modernize their applications using Azure. Solution architects and experienced developers interested in modernizing legacy applications using Azure will also find this book useful. Some prior understanding of cloud computing concepts will be beneficial.",N/A,N/A,en
Microsoft LifeCam VX-3000,[],N/A,['Microsoft'],N/A,N/A,N/A,en
Introduction to Computers,[],2012,['Electronic mail messages'],N/A,N/A,N/A,en
Office 2003,['Stan Leszynski'],1997,['Acces (Bilgisayar Programlama Dili)'],N/A,N/A,N/A,en
Microsoft Visual Basic 2005,['Diane Zak'],2007,['BASIC (Computer program language)'],"Microsoft Visual Basic 2005: RELOADED, Second Edition leverages the powerful pedagogy of the first edition, but takes it to the next level with Visual Basic 2005. Students will learn how to create programs in Visual Basic 2005 using a clean, conceptual approach. The highly visual four-color interior clearly illustrates topics and features such as Tips and How To boxes. Added to the end of every chapter is an exciting tutorial in which students create and program a game. Complete programming examples have been updated at the end of each chapter, allowing students to see the concepts they have learned and how they are applied. The new Self-Check Question and Answer sections allow students to determine whether they understand the topics. Quick Reviews and Key Terms, as well as a Glossary at the end of the book, provide easy reference for important concepts and terms.",N/A,N/A,en
Using the Microsoft [superscript ®] Business BASIC Compiler on the IBM [superscript ®] PC,['Murray L. Lesser'],1986,['Business & Economics'],N/A,N/A,N/A,en
"Microsoft, Quick Basic 40",[],1987,['Microsoft'],N/A,N/A,N/A,en
Explorando The Microsoft Network,['Stephen W. Sagman'],1996,[],N/A,N/A,N/A,es
Microsoft System Center 2012 Service Manager Cookbook,"['Samuel Erskine', 'Anders Asp', 'Steve Beaumont']",2012,['Client/server computing'],"This book is written in practical cookbook style with plenty of vivid, practical recipes to help you master Microsoft System Center 2012 Service Manager. Each chapter contains step-by-step instructions about everything necessary to execute a particular task. The book is designed so that you can read it from start to end for beginners; or just open up any chapter and start following the recipes as a reference for advanced users. This book will be useful to IT professionals including System Center Service Manager administrators who want to configure and administer System Center Service Manager 2012 and understand how to solve specific problems and scenarios that arise while using System Center Service Manager. It will also be useful to users of 2010 in learning new features and capabilities.",N/A,N/A,en
Microsoft Access 2016,['Stewart Melart'],2015-11-12,['Database management'],Microsoft has made many strides with the Access program since its invention. Over the years it has risen has one of the most dominant database programs with user-friendly features. Access 2013 is a part of the Office 2012 and so have similar commands and features as that of Microsoft Word and Microsoft Excel. Information can easily be shared between Access and all other Microsoft programs. This guide provides a detailed look along with detailed steps on how to work in Access 2016 and the features that are commonly utilized.,N/A,N/A,en
Open Learning Guide,"['Ltd, CiA Training']",2014,['Microsoft'],N/A,N/A,N/A,en
Big Tech Must Go!,['Martin Andree'],2025-05,['Art'],"Exposes how digital giants have seized control of our economies and democracies--and lays out a plan to take the internet back. Big Tech has infiltrated every corner of our lives--helping spread disinformation and eroding democracy itself. In Big Tech Must Go!, digital expert Martin Andree delivers a searing critique of how tech giants have staged a hostile takeover of society, turning once-open digital spaces into tools of control and monopolistic power. With astute analysis and eye-opening examples, Andree unpacks how these corporations have undermined free markets and reshaped the internet into a battleground for influence. Far from a nihilistic narrative, this book is also a call to action that offers strategies for reclaiming digital freedom before it's too late. Both a manifesto and a battle plan, Big Tech Must Go! urges readers to rethink the role of technology in our world and fight for an internet that serves people, not profit.",N/A,N/A,en
Mikrosoft] Microsoft Windows NT Workstation Version 4.0,[],1998,['Microsoft'],N/A,N/A,N/A,bg
Microsoft Internet Explorer 4,[],1998,['Explorer 4'],N/A,N/A,N/A,bg
MICROSOFT EXCEL使用手冊,[],1989,[],N/A,N/A,N/A,zh-CN
Микрософт] Microsoft Excel 97,"['Риид Якобсон', 'Анна Карабска']",1998,['Excel 97'],N/A,N/A,N/A,bg
Бил Гейтс и историята на Microsoft,"['Даниел Ишбиа', 'Румяна Димитрова Маркова', 'Бил Гейтс']",1999,['Фирми - по информатика - история'],N/A,N/A,N/A,bg
Микрософт] Microsoft Excel 97,[],1998,['Excel 97'],N/A,N/A,N/A,bg
MCSE Microsoft Certified Systems Engineer (microsoft sertifikalı sistem mühendisi) active directory sınavlarına hazırlık kılavuzu windows 2000 server (70-217,['Murat Bayraktar'],2005,['Electronic data processing personnel'],N/A,N/A,N/A,tr
Fuji Dağı'nı nasıl taşırsınız?,['William Poundstone'],2005,['Employment interviewing'],N/A,N/A,N/A,tr
