title,authors,publishedDate,categories,description,averageRating,textSnippet
No Greater Love,['Danielle Steel'],1991,['Fiction'],"Twenty-year-old Edwina Winfield is forced to assume the role of head of the household, becoming both mother and father to her five younger siblings after her parents and beloved fianc ̌drown during the disastrous sinking of the Titanic.",N/A,N/A
Godplayer,['Robin Cook'],1983,['Fiction'],In an ultra-modern hospital a new and horrifying method of dying has been developed.,4,N/A
The King of the Castle,['Victoria Holt'],1967,['Fiction'],"Dallas Lawson came alone to the legend-haunted chateau, the castle of the notorious Comte de la Talle, deep in the wine country of France. When she set eyes on the handsome Comte, she knew she would never leave willingly. What she didn't know was that she might never leave ... alive.",N/A,N/A
Summertime Death,['Mons Kallentoft'],2012-05-01,['Detective and mystery stories'],"As the temperature in Sweden reaches a record-breaking 45°, forest fires break out. All those who have failed to escape Linköping for the summer take shelter indoors, shocked and paralysed by the heat. However, when a teenage girl is discovered naked and bleeding in the local park, it is clear that the raging heat is not the only plague affecting the town. Then a second girl is found dead. Alarmed by the fact that the victims are the same age as her daughter, Tove, detective Malin Fors will work round-the-clock to capture the perpetrator. But as every lead comes to nothing, it is as though the oppressive heat is clogging up the wheels of her investigation. And time is not on Malin's side . . .",N/A,N/A
The Dumas Club,['Arturo Pérez-Reverte'],1996,['Antiquarians'],N/A,N/A,N/A
The Web,['Jonathan Kellerman'],2003,"['Delaware, Alex (Fictitious character)']",Psychologist-detective Dr. Alex Delaware encounters shocking secrets and deadly doings on an island paradise in this classic novel.,N/A,N/A
Fractured,['Karin Slaughter'],2009,['Fiction'],"Discover second book in the gripping Will Trent series, from the Sunday Times bestselling crime and thriller author. 'Her characters, plot, and pacing are unrivalled' MICHAEL CONNELLY 'One of the boldest thriller writers working today!' TESS GERRITSEN Now a major TV Series on Disney+ ----------- When Atlanta housewife Abigail Campano comes home one afternoon, she walks into a nightmare. A broken window, a bloody footprint on the stairs and her teenage daughter lying dead on the landing, a man standing over her with a knife. The struggle which follows changes Abigail's life forever. Now, in the relentless heat of a Georgia summer, Special Agent Will Trent must find the brutal killer who has targeted one of Atlanta's wealthiest, most privileged communities - before it's too late... ----------- Crime and thriller masters know there's nothing better than a little Slaughter- 'Passion, intensity, and humanity' LEE CHILD 'I'd follow her anywhere' GILLIAN FLYNN 'A writer of extraordinary talents!!' KATHY REICHS 'Fiction does not get any better than this' JEFFERY DEAVER 'A great writer at the peak of her powers' PETER JAMES 'Raw, powerful and utterly gripping' KATHRYN STOCKETT 'With heart and skill Karin Slaughter keeps you hooked from the first page until the very last' CAMILLA LACKBERG 'Amongst the world's greatest and finest crime writers' YRSA SIGUR ARD TTIR Karin Slaughter, Sunday Times bestseller, July 2023",N/A,N/A
Spook Country,['William Gibson'],2008,['Fiction'],"Hollis Henry, a female journalist on assignment from a magazine called ""Node,"" which doesn't exist yet, receives a three A.M. call from her editor, Philip Rausch; Hollis is searching for Bobby Chombo, whose day job is troubleshooting for military navigation equipment.",N/A,N/A
Firestarter,['Stephen King'],1980,['Assassins'],N/A,N/A,N/A
Point Blanc,['Anthony Horowitz'],2004,"['Alps, French (France)']",Investigations into the accidental death of two of the world's most powerful men have revealed just one link: both had a son attending Point Blanc Academy - an executive school for rebellious rich kids. Alex must infiltrate the academy and establish the truth of what is really happening there.,N/A,N/A
Slated,['Teri Terry'],2013-08-29,['Juvenile Fiction'],"In a future England, Kyla is one of the ""slated,"" those whose memories have been erased, but as she observes more and more strange events, she also gains more memories which put her and her boyfriend in danger.",N/A,N/A
Sharp Objects,['Gillian Flynn'],2018,['Fiction'],"NOW AN HBO® LIMITED SERIES STARRING AMY ADAMS, NOMINATED FOR EIGHT EMMY AWARDS, INCLUDING OUTSTANDING LIMITED SERIES FROM THE #1 NEW YORK TIMES BESTSELLING AUTHOR OF GONE GIRL Fresh from a brief stay at a psych hospital, reporter Camille Preaker faces a troubling assignment: she must return to her tiny hometown to cover the murders of two preteen girls. For years, Camille has hardly spoken to her neurotic, hypochondriac mother or to the half-sister she barely knows: a beautiful thirteen-year-old with an eerie grip on the town. Now, installed in her old bedroom in her family's Victorian mansion, Camille finds herself identifying with the young victims--a bit too strongly. Dogged by her own demons, she must unravel the psychological puzzle of her own past if she wants to get the story--and survive this homecoming. Praise for Sharp Objects ""Nasty, addictive reading.""--Chicago Tribune ""Skillful and disturbing.""--Washington Post ""Darkly original . . . [a] riveting tale.""--People",N/A,N/A
Midwinter Sacrifice,['Mons Kallentoft'],2012-01,['Fiction'],"'An investigation consists of a mass of voices, the sort you can hear, and the sort you can't. You have to listen to the soundless voices, Malin. That's where the truth is hidden.' Early one morning in the coldest winter in Swedish memory, police detective Malin Fors is called away from the warm flat she shares with her teenage daughter. The naked body of a man has been found hanging from a tree on the deserted, frozen plain outside the town of Linköping. From the outset Malin is confronted with a host of unanswered questions: Who is the dead man? How did he end up in a tree? And where did the strange wounds on his body come from? Malin and her team must search for the truth in a community that seems determined to keep its secrets, and follow in the frigid wake of a killer to the darkest corners of the human heart.",N/A,N/A
To the Light,['Pat Flynn'],2005,['Juvenile Fiction'],"Jamie is worried about big waves - both those in the ocean and the ones that thump you when you're growing up. With the surfing finals approaching, courage is hard to find. And then along comes an old Malibu rider with an ocean of knowledge, and a secret buried deep . . .",N/A,N/A
The Fist of God,['Frederick Forsyth'],1995,['Fiction'],This is an exciting espionage thriller set during the 1991 Gulf War about an attempt by the British to trap an Iraqui mole who is part of Sadam Hussein's inner circle.,N/A,N/A
Gone Missing,['Linda Castillo'],2012-06-19,['Fiction'],"Rumspringa is the time when Amish teens are allowed to experience life without rules, but everything changes when a child goes missing and Chief of Police Kate Burkholder is called upon to assist.",N/A,N/A
The Chemistry of Death,['Simon Beckett'],2006,['Fiction'],"Once a high-profile forensic anthropologist, Dr. David Hunter's keeps his past a secret while hiding himself in an isolated English village, until he is asked by the police to use his arcane skills to help track down the killer of a young woman, whose murder becomes only the first in a series of twisted mutilation killings. 25,000 first printing.",N/A,N/A
Blood Pact,['Tanya Huff'],2014-06-03,['Fiction'],"The Blood Books are now available in ""Blood Ties"" TV tie-in editions. View our TV tie-in feature page here here. Vicki Nelson has received the call that no daughter ever wants to receive—that her mother has died. Marjory Nelson’s coworkers at the Queen’s University Life Science Department told her that she suffered a heart attack, and that they’d be waiting for Vicki to arrive in Kingston to make the funeral arrangements. But what begins as a personal tragedy turns into the most terrifying case of Vicki’s career, when her mother’s body disappears mysteriously from the funeral home. Someone at the University is determined to learn the secret of life after death…and they’ve decided to make Vicki’s mother part of their horrifying experiments.",N/A,N/A
The Guardian,['Nicholas Sparks'],2003,['Audiobooks'],"Julie Barrenson returns to dating four years after her husband has died from a brain tumor. Little does she know that her devoted puppy, Singer, a surprise gift from her late husband, delivered after his death, will become her protector.",5,N/A
Passage by Night,['Jack Higgins'],1987-11-03,['Fiction'],"When Harry Mannings' girlfriend becomes a victim of high seas sabotage, he finds himself in the thick of a Cuban revolutionary plot.",N/A,N/A
The Killing Place,['Tess Gerritsen'],2011-01-03,['Fiction'],"""Something terrible has happened in the snowbound village of Kingdom Come, Wyoming. Twelve eerily identical houses stand dark and abandoned; meals remain untouched on dining room tables; cars are still parked in garages; the human occupants have vanished, seemingly into thin air. This is the unsettling place where Maura Isles finds herself trapped during a snowstorm. In Wyoming to attend a conference, she has joined a fellow pathologist and his friends on a drive to a backwoods ski lodge. When a wrong turn leaves their Jeep stranded in deep snow, they stumble down a private road into the valley of Kingdom Come, where they take shelter - and disappear. Days later, Jane Rizzoli, her husband Gabriel, and Father Daniel Brophy fly to Wyoming to search for their missing friend. But when police find a crashed vehicle with four badly burned bodies still inside - and Maura's suitcase - authorities assume that the dead woman is Maura, and that her death was accidental. But was it?""",N/A,N/A
Lie by Moonlight,['Amanda Quick'],2005,['Fiction'],"The seductive new novel of late-Victorian-era passion and intrigue from New York Times bestselling author Amanda Quick, ""an exceptional storyteller"" who sets the standard for historical romance.",4,N/A
The Innocent Man,['John Grisham'],2006,['Suspense'],"John Grisham tackles nonfiction for the first time with The Innocent Man, a true tale about murder and injustice in a small town (that reads like one of his own bestselling novels). The Innocent Man chronicles the story of Ron Williamson, how he was arrested and charged with a crime he did not commit, how his case was (mis)handled and how an innocent man was sent to death row. Grisham's first work of nonfiction is shocking, disturbing, and enthralling--a must read for fiction and nonfiction fans. We had the opportunity to talk with John Grisham about the case and the book, read his responses below.",N/A,N/A
Coraline,['Neil Gaiman'],2008-01-01,['Juvenile Fiction'],"A brilliant graphic novel adaptation of Neil Gaiman's critically acclaimed novel for young people. When Coraline moves to a new home, she is fascinated by the fact that the 'house' is really only half a house - it was divided into flats years before. And it soon becomes clear to Coraline that the other flat is not quite as cosy and safe as her own.",N/A,N/A
Long After Midnight,['Iris Johansen'],1997,['Fiction'],"When scientist Kate Denby's is threatened due to her ground-breaking medical research, she must protect her son and evade a merciless killer in order to secretly continue the research that will save millions of lives. Reprint. AB. K.",5,N/A
Nerve,"['Dick Francis', 'Dorothy Haas']",1987-02-12,['England'],"Rob Finn was a bit of a misfit: a struggling young jockey in a family of accomplished musicians, a man in love with a beautiful woman who wouldn't have him -- he suddenly looked like a rider who had lost his nerve. Could it be, though, that the horses were unusually sluggish, and that there was something more sinister attempting to sabotage him...? ""The best thriller writer going."" ATLANTIC MONTHLY",N/A,N/A
Fear Is the Key,['Alistair MacLean'],2020-01-14,['Fiction'],"A classic novel of ruthless revenge set in the steel jungle of an oil rig in the Gulf of Mexico - and on the sea bed below it. Now reissued in a new cover style. A sunken DC-3 lying on the Caribbean floor. Its cargo: ten million, two hundred and fifty thousand dollars in gold ingots, emeralds and uncut diamonds guarded by the remains of two men, one woman and a very small boy. The fortune was there for the taking, and ready to grab it were a blue-blooded oilman with his own offshore rig, a gangster so cold and independent that even the Mafia couldn't do business with him and a psychopathic hired assassin. Against them stood one man, and those were his people, those skeletons in their watery coffin. His name was Talbot, and he would bury his dead - but only after he had avenged their murders.",N/A,N/A
The Phantom of the Opera,['Gaston Leroux'],1986,['Classic'],A viscount seeks to unravel the mystery of the Paris Opera House and rescue the woman he loves from the threat of the phantom of the opera.,N/A,N/A
Velocity,"['Dean Koontz', 'Dean Ray Koontz']",2005,['Fiction'],"Billy Wiles is an easygoing guy leading an ordinary life, until he is targeted by a murderous psychopath. He must choose between victims and finds out the most chilling words of all - The choice is yours!",N/A,N/A
The Tenth City,['Patrick Carman'],2006,['Human-animal communication'],"Alexa reveals the origin of the Land of Elyon while defending it against the evil Abaddon and his sinister forces, with not only the last Jocasta at stake but also the nature of the land itself.",4,N/A
The Camel Club,['David Baldacci'],2005,['Conspiracies'],"In ""The Camel Club"", bestselling author David Baldacci paints a frighteningly vivid portrait of a world that could be our very own soon, and the few people who have a chance to stop the chaos ...",N/A,N/A
Counterparts,['Gonzalo Lira'],1999,['Fiction'],"At home, FBI agent Margaret Chisolm is a single, suburban soccer mom. But on the job, when she is pushed too far, she unleashes a savage red rage that awes even her toughest colleagues. Now Chisolm finds herself in an unlikely--and uneasy--partnership with a low-level CIA agent. Their mark: an international assassin known as Sepsis.",N/A,N/A
The Killing Ground,['Jack Higgins'],2008,['Intelligence officers'],"Entreated for help by an English-Bedouin man whose thirteen-year-old daughter has been kidnapped and forced to marry a terrorist, intelligence operative Sean Dillon finds his willing assistance sparking a deadly chain of events.",N/A,N/A
Jaws,['Peter Benchley'],1975,['Fiction'],"The classic, blockbuster thriller of man-eating terror that inspired the Steven Spielberg movie and made millions of beachgoers afraid to go into the water. Experience the thrill of helpless horror again -- or for the first time!",4,N/A
Saving Fish from Drowning,['Amy Tan'],2006,['Fiction'],Twelve American tourists join an art expedition that begins in the Himalayan foothills of China and heads south into the jungles of Burma.,N/A,N/A
State of the Union,['Brad Thor'],2011-02-22,['Fiction'],"From the national bestselling author of The Lions of Lucerne and Path of the Assassin comes another electrifying international thriller featuring all-American hero Scot Harvath, as he plunges into the frigid heart of the Russian tundra to save the fragile state of the union. On a cold January morning, the United States awakes to discover that an old enemy, one long believed dead and buried, has crawled out of its grave to lay siege to the world's only superpower. With the stunning discovery that enhanced Soviet-made suitcase nukes have been secreted in America's major cities, President Jack Rutledge gathers his National Security Council to weigh the feasibility of a first strike against the Russian Federation. There's only one problem. For over two decades, the Russians have been funneling international aid money into a top secret air defense system, which has just been brought on-line and which will render any conventional attack upon their country utterly ineffective. After exhausting all of his other options, and with Soviet sleeper agents preparing to detonate their deadly payloads across the United States, the president turns to the nation's final hope, ex-Navy SEAL and Secret Service Agent Scot Harvath. Assigned to a covert section of the Department of Homeland Security and charged with defending the nation against all foreign aggressors by any means necessary, Harvath finds himself hand-picked by the president to unravel a brilliantly orchestrated, fiendishly timed conspiracy that has already shattered the fragile peace between the world's nations and which, if successful, will leave the United States in smoldering ruins. With family friend and former Deputy FBI Director Gary Lawlor nowhere to be found and suspected of betraying his country, Harvath embarks on an adventure that will test the bonds of loyalty and reveal a nation's deepest secrets.",N/A,N/A
Cradle and All,['James Patterson'],2016-12-29,['Fiction'],"In Boston, a young woman finds herself pregnant - even though she is still a virgin. In Ireland, another young woman discovers she is in the same impossible condition. And in cities all around the world, medical authorities are overwhelmed by epidemics, droughts, famines, floods and worse. It all feels like a sign that something awful is coming. Anne Fitzgerald, a former nun turned private investigator, is hired by the Archdiocese of Boston to investigate the immaculate conceptions. Even as she comes to care about and trust the young women, she realises that both are in great danger. Terrifying forces of light and darkness are gathering. Stepping into uncharted territory where the unknown is just the beginning, Anne must discover the truth - to save the young women, to save herself and to protect the future of all mankind. The worldwide bestseller, updated for young adults",N/A,N/A
The Secret Pilgrim,['John Le Carré'],1991,"['Espionage, British']","The Berlin Wall is toppled, the Iron Curtain swept aside. The Secret Pilgrim is Ned, a decent, loyal soldier of the Cold War, who has been in British Intelligence - the Circus - all his adult life. Now, approaching the end of his career, he is forced by the explosions of change to revisit his secret years. Ned illuminates the brave past of the legendary George Smiley, his hero and mentor who, in one unforgettable evening, gives back to him the dangerous edge of memory that empowers him finally to frame the questions that have haunted him for thirty years ...",N/A,N/A
Tom Clancy Commander-In-Chief,['Mark Greaney'],2015-12-02,['Fiction'],"A #1 New York Times Bestselling Author A Jack Ryan Novel Abandoned by other international leaders, Jack Ryan alone counters the threat posed by Russian president Valeri Volodin. This isn?t the first time that the dictator has jeopardized world peace . . . but this time he?s playing a very nuanced game.",N/A,N/A
Devil Bones,['Kathy Reichs'],2008,"['Brennan, Temperance (Fictitious character)']","Charlotte, North Carolina. One of the town's oldest neighbourhoods. An underground chamber is exposed in a seedy, dilapidated house with sagging trim and peeling painta Called to the scene is forensic anthropologist Dr Temperance Brennan. Fighting her claustrophobia, and the unmistakeable sweet, fetid odour of rotting flesh, Tempe descends the precariously steep, makeshift wooden steps. What awaits her below is a ritualistic display: slain chickens and a goat u and a skull, ghostly pale, rests on a pedestal, the lower jaw missing, the empty orbits staring back at her. Two cauldrons stand nearby, beads and antlers suspended overhead. Age, race and sex indicators confirm the skull as that of a young, black female u but how did she die, and when? Then, just as Tempe is working to determine the post-mortem interval, another body is uncovered. The corpse is headless, the torso is carved with Satanic symbols. Led by a preacher-turned-politician, citizen vigilantes blame Devil-worshippers and begin a witch-hunt, intent on revenge. As Tempe struggles to keep her emotions and imagination from running away with her, she makes another chilling discovery. Even she couldn't have predicted where this case would lead, or the shocking secrets it would eventually uncover. And the more Tempe learns, the more she seems to be putting herself in dangera",N/A,N/A
The Gold Coin,['Andrea Kane'],1999,['Fiction'],"Newly orphaned, Anatasia has come to live with her identical cousin Breanna and her mean father, who cooks up a sinister scheme that places the girls in grave danger. Anastasia turns to the Marquess of Sheldrake for help. Passion flares as they race to unravel the deadly mystery that entraps them.",N/A,N/A
Icebound,['Dean Ray Koontz'],1995,['Fiction'],A thrilling adventure of science gone wrong and psychopathic terror in the polar icecaps by a modern master of horror and suspense.,N/A,N/A
Eleven Days,['Lea Carpenter'],2013,['Fiction'],"A stunning debut novel--unexpected, tautly written, suspenseful--that touches on some of the most profound questions we have about war as it tells us a haunting story of a single mother, and her Navy SEAL son.",N/A,N/A
Land of the Living,['Nicci French'],2004,['Amnesia'],N/A,N/A,N/A
Solo,['Jack Higgins'],1981-09-15,['Fiction'],Protagonist John Mikali is a genius capable of moving within minutes from committing cold-blooded murder to performing brilliantly at the piano and then making love passionately.,N/A,N/A
Robert Ludlum's the Bourne Deception,"['Eric Van Lustbader', 'Robert Ludlum']",2009,"['Bourne, Jason (Fictitious character)']","Jason Bourne's nemesis Arkadin is still hot on his trail and the two continue their struggle, reversing roles of hunter and hunted. After he is badly wounded, Bourne fakes his death, goes into hiding, takes on a new identity and tries to find out who assissanated him. His search for the man who shot him intersects with the search for the people that brought down an American passenger airliner, leading Bourne into one of the most deadly and challenging situations he has ever encountered.",N/A,N/A
The Codex,['Douglas Preston'],2004,['Fiction'],Thriller.,4.5,N/A
The Bourne Identity,['Robert Ludlum'],1986,['American fiction'],"He has no past. And he may have no future. His memory is blank. He only knows that he was flushed out of the Mediterranean Sea, his body riddled with bullets. There are a few clues. A frame of microfilm surgically implanted beneath the flesh of his hip. Evidence that plastic surgery has altered his face. Strange things that he says in his delirium -- maybe code words. Initial: ""J.B."" And a number on the film negative that leads to a Swiss bank account, a fortune of four million dollars, and, at last, a name: Jason Bourne. But now he is marked for death, caught in a maddening puzzle, racing for survival through the deep layers of his buried past into a bizarre world of murderous conspirators -- led by Carlos, the world's most dangerous assassin. And no one can help Jason Bourne but the woman who once wanted to escape him.",N/A,N/A
The Hunchback of Notre Dame,['Victor Hugo'],1996,['France'],"Retells the tale of the hunchbacked bellringer of medieval Notre Dame, Quasimodo, whose love for the gypsy dancer, Esmeralda, had tragic consequences.",N/A,N/A
Rules of Deception,['Christopher Reich'],2008,['Fiction'],A man's wife disappears into a crevasse during a blizzard in the Swiss Alps. What he finds among her belongings leads him to learn that there was much about his wife that he did not know.,5,N/A
The Fallen Angel,['Daniel Silva'],2012-07-17,['Fiction'],"When a body is found beneath Michelangelo's dome, Gabriel Allon is summoned to secretly investigate the death that has been ruled a suicide--a case that brings about an unthinkable act of sabotage.",N/A,N/A
Spellbinder,['Melanie Rawn'],2007-08-28,['Fiction'],"The small and discrete community of witches and wizards who make New York City their home, including successful writer Holly McClure, must use their magic to protect the city when a black coven threatens to unleash its terror.",3,N/A
The Night Before,['Lisa Jackson'],2003,['Fiction'],"Haunted by recurring blackouts and dark secrets that have tormented her family for generations, Cailtyn Montgomery confides in Adam Hunt, a new psychologist in Savannah--a man who seems to hold the key to her past and future. Original.",N/A,N/A
Sizzle and Burn,['Jayne Ann Krentz'],2009-01-01,['Fiction'],"Lonely and reluctant psychic Raine Tallentyre is targeted for recruitment into the secret Arcane Society by fellow psychic Zack Jones, an effort that is complicated by Raine's painful memories of how the organization shattered her family through an act of betrayal.",N/A,N/A
Picture Perfect,['Fern Michaels'],2000,['Fiction'],Lorrie looks forward to taking her young nephew Davey on a camping trip even though it's been arranged for the sole purpose of keeping him out of harm's way while his father testifies. But Davey vanishes while fishing.,N/A,N/A
Season of the Machete,['James Patterson'],1995-04-01,['Fiction'],"Forsaking his life of leisure, Peter Macdonald prepares for a confrontation on a vacation island with psychopathic killers-for-hire Damian and Carrie Rose",N/A,N/A
Worst Fears Realized,['Stuart Woods'],1999,['Fiction'],"Stone and his ex-partner, Dino, are facing every policeman's worst fear. The people close to them are being murdered, probably by someone the two of them sent to prison in the past.",N/A,N/A
Cassandra Compact,['Robert Ludlum'],2002,[],N/A,N/A,N/A
The Cobra,['Frederick Forsyth'],2010,['Fiction'],"Having once been forcibly retired from the CIA for being too ruthless, former director of Special Operations Paul Devereaux is called back into action, with the agency giving him free reign and unlimited resources to take down the top drug cartels. By the best-selling author of The Day of the Jackal.",N/A,N/A
Where are the Children?,['Mary Higgins Clark'],1992,['Fiction'],A mother is accused in the gruesome deaths of her two children.,N/A,N/A
The Impossible Dead,['Ian Rankin'],2012,['Detective and mystery stories'],"A major inquiry into a neighboring police force sees Malcolm Fox and his colleagues cast adrift, unsure of territory, protocol, or who they can trust. An entire station-house looks to have been compromised, but as Fox digs deeper he finds the trail leads him back in time to the suicide of a prominent politician and activist. There are secrets buried in the past, and reputations on the line.",N/A,N/A
At Death's Door,['Robert Barnard'],1989,['Fiction'],"Benedict Cotteral, an elderly writer, living out his last days at his son's home, receives a visit from his long-forgotten illegitimate daughter and becomes a suspect in her murder.",N/A,N/A
"Weep No More, My Lady",['Mary Higgins Clark'],1987,['Fiction'],"Cypress Point -- the ultimate California spa where the rich and famous pursue health and beauty in unalloyed luxury. But lovely young Elizabeth Lange is after something else: the truth about the death of her beloved sister -- a famous actress who plunged from the balcony of her Manhattan penthouse. What she finds will determine the fate of Ted Winters, the handsome business tycoon who stands accused of her murder. Against a Monterey background that sparkles with sun, money, and glamour, Elizabeth stalks shadows that darken with dread and danger... shadows that threaten to reveal the stunning truth about her sister -- and herself.",N/A,N/A
Full Scoop,"['Janet Evanovich', 'Charlotte Hughes']",2006-04-04,['Fiction'],"The sixth original novel by Evanovich and Hughes transports readers to the wildest week yet in the town of Beaumont, South Carolina, as the authors dole out a full scoop of fun, adventure, and romance. Original.",N/A,N/A
Polar Shift,"['Clive Cussler', 'Paul Kemprecos']",2005,['Fiction'],"An anti-globalization group plans to give the worlds industrial nations a jolt by using an artificially triggered ""polar shift."" But the scheme goes awry when the shift cannot be reversed and the NUMA Special Assignments Team is called into action. Available in a Premium Edition.",N/A,N/A
The Nine Tailors,['Dorothy Leigh Sayers'],1992,['Large type books'],"And when a horribly mutilated body was discovered in the church grounds, the rector turned to the noble sleuth, Lord Peter Wimsey for his help.",N/A,N/A
True Evil,['Greg Iles'],2007-01,['Fiction'],"Dr. Chris Shepard, a busy young doctor in Natchez, Mississippi, has never seen his new patient Alex Morse before. But the attractive young woman with the scarred face has come to Dr. Shepards office on a mission to catch a killer. This ""New York Times"" bestseller is available in a tall Premium Edition.",N/A,N/A
The Venetian Betrayal,['Steve Berry'],2008,['Fiction'],"Ex-secret agent Cotton Malone and his partner, the enigmatic Cassiopeia Vitt, are pitted against ruthless Central Asian dictator Irina Zovastina as they scour the globe in search of the final resting place of Alexander the Great.",N/A,N/A
Prince of Fire,['Daniel Silva'],2005,['Fiction'],"Recalled to service in Israel after terrorists steal secrets about his past, art restorer and sometime spy Gabriel Allon finds himself stalking an elusive master terrorist in a deadly cat-and-mouse game.",N/A,N/A
Wild Animus,['Rich Shapero'],2004,['Fiction'],"Wild animus is a search for the primordial, a test of human foundations and a journey to the breaking point.",N/A,N/A
Second Sight,['Amanda Quick'],2006,['Clairvoyants'],N/A,N/A,N/A
A Cry in the Night,['Mary Higgins Clark'],1983,['Fiction'],"Jenny's only hope for happiness lies in unraveling the truth about the past, a truth that is hidden in the great house which has become her prison.",5,N/A
The Footprints of God,['Greg Iles'],2003-09,['Fiction'],"A New York Times Bestselling AuthorDavid Tennant and Rachel Weiss know far too much about the secret project Trinity, code name for a technology that could forever change the world. It could be used for good or evil, and its creators cannot resist the power that Trinity offers. Only David and Rachel stand in their way, and they have been targeted for death. As they run for their lives, this heroic young doctor and his sympathetic psychiatrist turn to David's strange dreams for guidance Who or what is driving him, and for what purpose?",N/A,N/A
