title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Single Variable Calculus,"['Dennis Zill', 'Warren S. Wright']",2009-12-11,['Mathematics'],"Dennis Zill's mathematics texts are renowned for their student-friendly presentation and robust examples and problem sets. The Fourth Edition of Single Variable Calculus: Early Transcendentals is no exception. This outstanding revision incorporates all of the exceptional learning tools that have made Zill's texts a resounding success. Appropriate for the first two terms in the college calculus sequence, students are provided with a solid foundation in important mathematical concepts and problem solving skills, while maintaining the level of rigor expected of a Calculus course.",N/A,N/A,en
All Around the Moon,['Jules Verne'],2008-03,['Fiction'],"In this sequel to ""From the Earth to the Moon"", Barbicane and his associates begin their circumnavigation of the moon.",N/A,N/A,en
The Facts on File Calculus Handbook,['Eli Maor'],2014-05-14,['Mathematics'],"Contains a history of calculus, including more than 500 entries providing definitions and explanations of topics associated with the subject, plus brief biographies of over 100 mathematicians.",3.5,N/A,en
The Tangled Origins of the Leibnizian Calculus,['Richard C. Brown'],2012,['Mathematics'],"This book is a detailed study of Gottfried Wilhelm Leibniz''s creation of calculus from 1673 to the 1680s. We examine and analyze the mathematics in several of his early manuscripts as well as various articles published in the Acta Eruditorum. It studies some of the other lesser known OC calculiOCO Leibniz created such as the Analysis Situs, delves into aspects of his logic, and gives an overview of his efforts to construct a Universal Characteristic, a goal that has its distant origin in the Ars Magna of the 13th century Catalan philosopher Raymond Llull, whose work enjoyed a renewed popularity in the century and a half prior to Leibniz. This book also touches upon a new look at the priority controversy with Newton and a Kuhnian interpretation of the nature of mathematical change. This book may be the only integrated treatment based on recent research and should be a thought-provoking contribution to the history of mathematics for scholars and students, interested in either Leibniz''s mathematical achievement or general issues in the field.""",N/A,N/A,en
Calculus Made Easy,['SILVANUS P. THOMPSON'],2019-01-21,[],"Calculus Made Easy has long been the most popular calculus primer, and this major revision of the classic math text makes the subject at hand still more comprehensible to readers of all levels. A classic and simple approach to learning calculus that requires no technology or prior advanced mathematical skills. This text uses a pioneering approach to math education which is still relevant today. The approach simplifies the process of learning a complicated subject by breaking it down to its core components, using basic examples, and building upon each component until the topic is mastered. This book is a must have for students of calculus or those that have always wanted to learn the subject. It is also helpful to those of us who learned many years ago but could use a refresher.",N/A,N/A,en
Numbers and Functions,['Victor H. Moll'],2012,['Mathematics'],"New mathematics often comes about by probing what is already known. Mathematicians will change the parameters in a familiar calculation or explore the essential ingredients of a classic proof. Almost magically, new ideas emerge from this process. This book examines elementary functions, such as those encountered in calculus courses, from this point of view of experimental mathematics. The focus is on exploring the connections between these functions and topics in number theory and combinatorics. There is also an emphasis throughout the book on how current mathematical software can be used to discover and interesting properties of these functions. The book provides a transition between elementary mathematics and more advanced topics, trying to make this transition as smooth as possible. Many topics occur in the book, but they are all part of a bigger picture of mathematics. By delving into a variety of them, the reader will develop this broad view. The large collection of problems is an essential part of the book. The problems vary from routine verifications of facts used in the text to the exploration of open questions. Book jacket.",N/A,N/A,en
Fractional Calculus,['Richard Herrmann'],2011,['Mathematics'],"Fractional calculus is undergoing rapidly and ongoing development. We can already recognize, that within its framework new concepts and strategies emerge, which lead to new challenging insights and surprising correlations between different branches of physics. This book is an invitation both to the interested student and the professional researcher. It presents a thorough introduction to the basics of fractional calculus and guides the reader directly to the current state-of-the-art physical interpretation. It is also devoted to the application of fractional calculus on physical problems, in the subjects of classical mechanics, friction, damping, oscillations, group theory, quantum mechanics, nuclear physics, and hadron spectroscopy up to quantum field theory.",N/A,N/A,en
A treatise on infinitesimal calculus,['Bartholomew Price'],1854,['Calculus'],N/A,N/A,N/A,en
Topics in Mathematical Analysis for Economists,['Knut Sydsæter'],1981,['Business & Economics'],Differential equations of first order; Complex numbers. Algebraic equations; Topics in the theory of functions of several variables; Integration; Static optimization theory; Differential equations of higher order; Difference equations.,N/A,N/A,en
Calculus,"['Brian E. Blank', 'Steven George Krantz']",2006,['Mathematics'],"Calculus is one of the milestones of human thought, and has become essential to a broader cross-section of the population in recent years. This two-volume work focuses on today's best practices in calculus teaching, and is written in a clear, crisp style.",N/A,N/A,en
Numerical Methods for Conservation Laws,['Randall J. LeVeque'],1992-02-13,['Mathematics'],"These notes were developed for a graduate-level course on the theory and numerical solution of nonlinear hyperbolic systems of conservation laws. Part I deals with the basic mathematical theory of the equations: the notion of weak solutions, entropy conditions, and a detailed description of the wave structure of solutions to the Riemann problem. The emphasis is on tools and techniques that are indispensable in developing good numerical methods for discontinuous solutions. Part II is devoted to the development of high resolution shock-capturing methods, including the theory of total variation diminishing (TVD) methods and the use of limiter functions. The book is intended for a wide audience, and will be of use both to numerical analysts and to computational researchers in a variety of applications.",4,N/A,en
Advanced Calculus,"['Robert Creighton Buck', 'Ellen F. Buck']",1978,['Mathematics'],Seths and functions; Continuity; Defferentiation; Integration; Series; Uniform convergence; Diferentiation of transformations; Aplications to geometry and analysis; Differential geometry and vector calculus; Numerical methods.,N/A,N/A,en
Higher Engineering Mathematics,['John Bird'],2006,['Mathematics'],"John Bird's approach, based on numerous worked examples and interactive problems, is ideal for students from a wide range of academic backgrounds. This edition has been extended with new topics to maximise the book's applicability for first year engineering degree students, and those following Foundation Degrees.",N/A,N/A,en
Calculus Made Easy,"['Silvanus P. Thompson', 'Martin Gardner']",1998-10-15,['Mathematics'],"In addition to helping students reach the right answers, this book opens new mental vistas for readers previously afraid of, or hostile to higher mathematics.",4.5,N/A,en
A Primer of Infinitesimal Analysis,['John L. Bell'],2008-04-07,['Mathematics'],"A rigorous, axiomatically formulated presentation of the 'zero-square', or 'nilpotent' infinitesimal.",5,N/A,en
Calculus with Maple Labs,"['Wiesław Krawcewicz', 'Bindhyachal Rai']",2003,['Mathematics'],"Offering a universally taught course: this complete exposition of a single varibale calculus elucidates transcendental functions, the notion of a sequence and its limit and the introduction of a limit of a function.",N/A,N/A,en
A Treatise on the Calculus of Finite Differences,['George Boole'],1880,['Mathematics'],"Written by the founder of symbolic logic (and Boolean algebra), this classic treatise on the calculus of finite differences offers a thorough discussion of the basic principles of the subject, covering nearly all the major theorems and methods with clarity and rigor. Includes more than 200 problems. 1872 edition.",N/A,N/A,en
E,['Eli Maor'],1994,['Mathematics'],"In this informal and engaging history, Eli Maor protrays the curious characters and the elegant mathematics that lie behind the number e.",N/A,N/A,en
Elementary Analysis,['Kenneth A. Ross'],1980-03-03,['Mathematics'],"Designed for students having no previous experience with rigorous proofs, this text can be used immediately after standard calculus courses. It is highly recommended for anyone planning to study advanced analysis, as well as for future secondary school teachers. A limited number of concepts involving the real line and functions on the real line are studied, while many abstract ideas, such as metric spaces and ordered systems, are avoided completely. A thorough treatment of sequences of numbers is used as a basis for studying standard calculus topics, and optional sections invite students to study such topics as metric spaces and Riemann-Stieltjes integrals.",N/A,N/A,en
The Calculus of Friendship,"['Steven Strogatz', 'Don Joffray']",2009-08-23,['Biography & Autobiography'],"The Calculus of Friendship is the story of an extraordinary connection between a teacher and a student, as chronicled through more than thirty years of letters between them. What makes their relationship unique is that it is based almost entirely on a shared love of calculus. For them, calculus is more than a branch of mathematics; it is a game they love playing together, a constant when all else is in flux. The teacher goes from the prime of his career to retirement, competes in whitewater kayaking at the international level, and loses a son. The student matures from high school math whiz to Ivy League professor, suffers the sudden death of a parent, and blunders into a marriage destined to fail. Yet through it all they take refuge in the haven of calculus--until a day comes when calculus is no longer enough. Like calculus itself, The Calculus of Friendship is an exploration of change. It's about the transformation that takes place in a student's heart, as he and his teacher reverse roles, as they age, as they are buffeted by life itself. Written by a renowned teacher and communicator of mathematics, The Calculus of Friendship is warm, intimate, and deeply moving. The most inspiring ideas of calculus, differential equations, and chaos theory are explained through metaphors, images, and anecdotes in a way that all readers will find beautiful, and even poignant. Math enthusiasts, from high school students to professionals, will delight in the offbeat problems and lucid explanations in the letters. For anyone whose life has been changed by a mentor, The Calculus of Friendship will be an unforgettable journey.",N/A,N/A,en
A Treatise on Infinitesimal Calculus,['Bartholomew Price'],1854,['Calculus'],N/A,N/A,N/A,en
Introduction to Stochastic Calculus with Applications,['Fima C. Klebaner'],2005,['Mathematics'],"This book presents a concise treatment of stochastic calculus and its applications. It gives a simple but rigorous treatment of the subject including a range of advanced topics, it is useful for practitioners who use advanced theoretical results. It covers advanced applications, such as models in mathematical finance, biology and engineering.Self-contained and unified in presentation, the book contains many solved examples and exercises. It may be used as a textbook by advanced undergraduates and graduate students in stochastic calculus and financial mathematics. It is also suitable for practitioners who wish to gain an understanding or working knowledge of the subject. For mathematicians, this book could be a first text on stochastic calculus; it is good companion to more advanced texts by a way of examples and exercises. For people from other fields, it provides a way to gain a working knowledge of stochastic calculus. It shows all readers the applications of stochastic calculus methods and takes readers to the technical level required in research and sophisticated modelling.This second edition contains a new chapter on bonds, interest rates and their options. New materials include more worked out examples in all chapters, best estimators, more results on change of time, change of measure, random measures, new results on exotic options, FX options, stochastic and implied volatility, models of the age-dependent branching process and the stochastic Lotka-Volterra model in biology, non-linear filtering in engineering and five new figures.Instructors can obtain slides of the text from the author.",5,N/A,en
Introduction to Infinitesimal Analysis,"['Oswald Veblen', 'Nels Johann Lennes']",1907,['Calculus'],N/A,N/A,N/A,en
A course of pure mathematics,['Godefrey Harold Hardy'],1914,[],N/A,N/A,N/A,en
University Physics Standard Version,"['Wolfgang Bauer', 'Gary D. Westfall']",2010-02-01,['Calculus'],"University Physics, 1e by Bauer and Westfall is a comprehensive text with rigorous calculus coverage incorporating a consistently used 7-step problem solving method. The authors include a wide variety of everyday contemporary topics as well as research-based discussions. Both are designed to help students appreciate the beauty of physics and how physics concepts are related to the development of new technologies in the fields of engineering, medicine, astronomy and more.",N/A,N/A,en
"The Method of Fluxions and Infinite Series; with Its Application to the Geometry of Curve-Lines. by ... Sir Isaac Newton, ... Translated from the Auth",['Sir Isaac Newton'],2013-09,['Calculus'],"This historic book may have numerous typos and missing text. Purchasers can usually download a free scanned copy of the original book (without typos) from the publisher. Not indexed. Not illustrated. 1736 edition. Excerpt: ...will continually grow less and less, and therefore will make nearer and nearer Approaches to the Root y, to which they always converge. For y s= a-p, where p is the Root of this Equation zap-+-pp=z xx. Or y = a-J---f-q, where q is the Root, of this Equation 2aq-+ q--qq-=.--a. Or y=z a-+ M--ib """" r wnerer is the Root of this Equation 2ar-$---rmmm i rr== ""ti """" 6p' And s n The Resolution of any one of these Quadratics Equations, in the ordinary way, will give.the respective Supplement, which will compleat the value of y. I took notice before, upon the Article of Division, of what may be call'd a Comparison of Quotients; or that one Quotient may be exhibited by the help of another, together with a Series of known or simple Terms. Here we have an Instance of a like Comparison of Roots; or that the Root of one Equation may be expreis'd by the Root of another, together with a Series of known or simple Terms, which will hold good in all Equations whatever. And to carry on the Analogy, we shall hereafter find a like Comparison of Fluents; where one Fluent, (suppose, for instance, a Curvilinear Area, ) will be express'd by another Fluent, together with a Series of simple Terms. This I thought fit to insinuate here, by way of anticipation, that I might shew the constant uniformity and harmony of Nature, in these Speculations, when they are duly and regularly pursued. But I shall here give, ex abundant!, another Method for this, and such kind of Extractions, tho' perhaps it may more properly belong to the Resolution of Affected Equations, which is soon to follow j however it may serve as an Introduction to their Solution. The first Residual or Supplemental Equation in the foregoing Process was 2rf/-h# =, which may be resolved...",N/A,N/A,en
Around the Moon,['Jules Verne'],2023-05-26,[],"Embark on an exhilarating celestial adventure with Jules Verne's ""Around the Moon."" As the sequel to the groundbreaking ""From the Earth to the Moon,"" this novel continues the daring exploits of the brave astronauts from the Baltimore Gun Club. Cast into space by a colossal cannon, their spacecraft, the Columbiad, is destined for a journey around the moon, plunging the crew into the heart of the unknown. ""Around the Moon"" is a testament to Verne's extraordinary vision of space travel, brimming with suspense, scientific intrigue, and the exhilarating spirit of exploration. As our intrepid astronauts navigate lunar landscapes and grapple with the physical challenges of space, readers are offered a thrilling ride through the cosmos, seen through the lens of Verne's unique scientific foresight and unrivaled storytelling. So, strap in and prepare for liftoff - this cosmic voyage promises to captivate your imagination, transporting you beyond the realm of ordinary into the extraordinary. Discover why Jules Verne continues to be the guiding star of science fiction, inspiring generations of explorers, dreamers, and readers alike.",N/A,N/A,en
Elementary Illustrations of the Differential and Integral Calculus,['Augustus De Morgan'],1899,['Calculus'],N/A,N/A,N/A,en
Foundations of Analysis,['Edmund Landau'],1966,['Calculus'],N/A,N/A,N/A,en
A Course of Pure Mathematics,['Godfrey Harold Hardy'],1992,['Calculus'],N/A,N/A,N/A,en
Calculus Reordered,['David M. Bressoud'],2021-05-04,['Mathematics'],"Calculus Reordered takes readers on a remarkable journey through hundreds of years to tell the story of how calculus grew to what we know today. David Bressoud explains why calculus is credited to Isaac Newton and Gottfried Leibniz in the seventeenth century, and how its current structure is based on developments that arose in the nineteenth century. Bressoud argues that a pedagogy informed by the historical development of calculus presents a sounder way for students to learn this fascinating area of mathematics. Delving into calculus's birth in the Hellenistic Eastern Mediterranean--especially Syracuse in Sicily and Alexandria in Egypt--as well as India and the Islamic Middle East, Bressoud considers how calculus developed in response to essential questions emerging from engineering and astronomy. He looks at how Newton and Leibniz built their work on a flurry of activity that occurred throughout Europe, and how Italian philosophers such as Galileo Galilei played a particularly important role. In describing calculus's evolution, Bressoud reveals problems with the standard ordering of its curriculum: limits, differentiation, integration, and series. He contends instead that the historical order--which follows first integration as accumulation, then differentiation as ratios of change, series as sequences of partial sums, and finally limits as they arise from the algebra of inequalities--makes more sense in the classroom environment. Exploring the motivations behind calculus's discovery, Calculus Reordered highlights how this essential tool of mathematics came to be.",N/A,N/A,en
The Method of Fluxions and Infinite Series,"['Isaac Newton', 'John Colson']",1976,['Calculus'],N/A,N/A,N/A,en
New Horizons in Geometry,"['Tom M. Apostol', 'Mamikon A. Mnatsakanian']",2012,['Mathematics'],Calculus problems solved by elementary geometrical methods --- P. 4 of cover.,N/A,N/A,en
Advanced Calculus,['Wilfred Kaplan'],2003,['Calcul infinitésimal'],"Offers training in vectors and matrices, vector analysis, and partial differential equations. This book introduces vectors at the outset and serves at many points to indicate geometrical and physical significance of mathematical relations. It covers numerical methods at various points, because of the insights they give about theory.",N/A,N/A,en
A First Course in Calculus,['Serge Lang'],1973,['Mathematics'],N/A,N/A,N/A,en
"Opticks, Or a Treatise of the Reflections, Refractions, Inflections and Colours of Light",['Sir Isaac Newton'],2013-09,[],"This historic book may have numerous typos and missing text. Purchasers can usually download a free scanned copy of the original book (without typos) from the publisher. Not indexed. Not illustrated. 1730 edition. Excerpt: ...can be made of them, ) as soon as I had blown any of them them I cover'd it with a clear Glass, and by, that means its Colours emerged in a very regular order, like so many concentrick Rings encompassing the top of the Bubble. And as the Bub ble grew thinner by the continual subsiding of the Water, these Rings dilated flowly and overspread the whole Bubble, descending in order to the bottom of it, where they vanilh'd successively. In the mean while, after all the Colours were emerged at the top, there grew in thecenter of the Rings a small round black Spot, like that in the first observation, which continually dilated it self till it became sometimes more than or of an Inch in breadth before the Bubble broke. At first I thought there had been no Light reflected from.the Water in that place, but observing it more curiously, I saw within it several smaller round Spots, which appeared much blacker and darker than the rest, whereby I knew that there was some Reflexion at the other places which were not so dark as those Spots. And by farther Tryal I found that I could fee the Images, of some things (as of a Candle or the Sun) very faintly reflected, not only from the great black Spot, but also from the little darker Spots which were within it. Besides the aforesaid colour'd Rings there would often appear small Spots of Colours, ascending and descending up and down the sides of the Bubble, by reason of some Inequalities in the subsiding of the Water. And sometimes small black Spots generated at the fides would ascend ascend up to the larger black Spot at the top of the Bubble, and unite with it, Obs. 18. Because the Colours of these Bubbles were more extended and lively than theft of the Air thinn'd between two Glasses, and so more easy...",N/A,N/A,en
Vector Calculus,"['Jerrold E. Marsden', 'Anthony Tromba']",2003-08,['Mathematics'],"'Vector Calculus' helps students foster computational skills and intuitive understanding with a careful balance of theory, applications, and optional materials. This new edition offers revised coverage in several areas as well as a large number of new exercises and expansion of historical notes.",4,N/A,en
Calculus with Analytic Geometry,"['George Brinton Thomas', 'Thomas L. Cochran']",1992,['Mathematics'],N/A,N/A,N/A,en
The Origins of the Infinitesimal Calculus,['Margaret E. Baron'],1987,['Mathematics'],"Few among the numerous studies of calculus offer the detailed and fully documented historical perspective of this text, particularly in regard to the geometric techniques and methods developed prior to the work of Newton and Leibniz. Because the contributions of these and other mathematicians arose from a centuries-long struggle to investigate area, volume, tangent, and arc by purely geometric methods, the author begins by establishing background mathematical concepts. Dr. Baron provides an enlightening view of the Greek, Hindu, and Arabic sources that constituted the framework for the development of infinitesimal methods in the seventeenth century. Subsequent chapters offer an illuminating discussion of the arithmetization of integration methods, the role of investigation of special curves, concepts of tangent and arc, the composition of motions, and the developing link between differential and integral processes. Significant changes in proof structure and presentation are considered in relation to the formulation of rules for the construction of tangents and quadrature of curves. An Epilogue concludes the text with a brief chronological survey of the early work of Newton and Leibniz, based on material drawn from original manuscripts. Book jacket.",N/A,N/A,en
Mathematical Analysis for Economists,['Roy George Douglas Allen'],1947,['Calculus'],"Numbers and variables; Functions and their diagrammatic representation; Elementary analytical geometry; Limits and continuity of functions; Functions and diagrams in economic theory; Derivatives and their interpretation; The technique of derivation; Applications of derivatives; Exponential and logarithnic functions; Logarithmic derivation; Functions of two or more variable; Partial derivatives and their applications; Differentials and differentiation; Problems of maximum and minimum values; Integrals of functions of one variable; Differential equations; Expansions, taylor's series and higher order differentials; Determinants, linear equations and quadratic forms; Further problems of maximum and minimum values; Some problems in the calculus of variations.",N/A,N/A,en
Principles of Physics,"['Raymond A.. Serway', 'John Jewett']",2012-05-01,['Calculus'],"PRINCIPLES OF PHYSICS, Volume 2, 5E, International Edition features a concise approach to traditional topics, an early introduction to modern physics, and integration of physics education research pedagogy, as well as the inclusion of contemporary topics throughout the text. This revision of PRINCIPLES OF PHYSICS, Volume 2, 5E, International Edition also contains a new worked example format, a new Context feature, a revised problem set based on an analysis of problem usage data from WebAssign, and a thorough revision of every piece of line art in the text.",N/A,N/A,en
The Method of Fluxions and Infinite Series,['Isaac Newton'],1736,[],N/A,N/A,N/A,en
"Calculus for Management, Life, and Social Sciences","['Raymond A. Barnett', 'Michael R. Ziegler']",1987,['Mathematics'],N/A,N/A,N/A,en
Calculus for Biology and Medicine,['Claudia Neuhauser'],2000,['Juvenile Nonfiction'],"For a two-semester course in Calculus for Life Sciences. The first calculus text that adequately addresses the special needs of students in the biological sciences, this volume teaches calculus in the biology context without compromising the level of regular calculus. It is a essentially a calculus text, written so that a math professor without a biology background can teach from it successfully. The material is organized in the standard way and explains how the different concepts are logically related. Each new concept is typically introduced with a biological example; the concept is then developed without the biological context and then the concept is tied into additional biological examples. This allows students to first see why a certain concept is important, then lets them focus on how to use the concepts without getting distracted by applications, and then, once students feel more comfortable with the concepts, it revisits the biological applications to make sure that they can apply the concepts. The text features exceptionally detailed, step-by-step, worked-out examples and a variety of problems, including an unusually large number of word problems in a biological context.",N/A,N/A,en
Elementary Textbook on the Calculus,"['Virgil Snyder', 'John Irwin Hutchinson']",1912,['Calculus'],N/A,N/A,N/A,en
A Course of Modern Analysis,['Edmund Taylor Whittaker'],1902,['Calculus'],N/A,4,N/A,en
Calculus and Analytic Geometry,['Abraham Schwartz'],1974,['Mathematics'],N/A,N/A,N/A,en
Elementary Calculus,['H. Jerome Keisler'],1986,['Mathematics'],N/A,N/A,N/A,en
Introduction to Real Analysis,"['Robert G. Bartle', 'Donald R. Sherbert']",1992,['Mathematics'],"Recognizing the increased role of real analysis in economics, management engineering and computer science as well as in the physical sciences, this Second Edition meets the need for an accessible, comprehensive textbook regarding the fundamental concepts and techniques in this area of mathematics. Provides solid coverage of real analysis fundamentals with an emphasis on topics from numerical analysis and approximation theory because of their increased importance to contemporary students. Topics include real numbers, sequences, limits, continuous functions, differentiation, infinite series and more. Topological concepts are now conveniently combined into one chapter. An appendix on logic and proofs helps students in analyzing proofs of theorems.",N/A,N/A,en
Calculus,"['Robert Alexander Adams', 'Christopher Essex']",2009-01-15,['Calculus'],"Proven in North America and abroad, this classic text has earned a reputation for excellent accuracy and mathematical rigour. Previous editions have been praised for providing complete and precise statements of theorems, using geometric reasoning in applied problems, and for offering a range of applications across the sciences. Written in a clear, coherent, and readable form, Calculus: Single Variable makes student comprehension a clear priority. This seventh edition features a new co-author, Dr. Christopher Essex, who has been invited to contribute his unique style and approach to the subject material. Instructors and students will appreciate revised exercises, greater emphasis on differential equations, and new pedagogical features.",N/A,N/A,en
"Opticks: Or, A Treatise of the Reflexions, Refractions, Inflexions and Colours of Light",['Sir Isaac Newton'],1704,['Calculus'],"Unlike most of Isaac Newton's works, Opticks was originally published in English in 1702 [1704?], with the Latin version following in 1706. The work summarized Newton's discoveries and theories concerning light and color: the spectrum of the sunlight, the degrees of refraction associated with different colors, the color circle (the first in the history of color theory), the invention of the reflecting telescope; the first workable theory of the rainbow, and experiments on what would later be called ""interference effects"" in conjunction with Newton's rings. His discovery of periodicity in Newton's rings, which would later prove to be so useful to Thomas Young, led Newton to postulate that periodicity was a fundamental property either of light waves or of waves associated with light. Nevertheless, Newton preferred the corpuscular theory of light, with which he is usually associated, because of its explanatory value for certain optical phenomena and because it allowed him to link the action of gross bodies with the action of light. The first edition of the Opticks ends with two mathematical treatises in Latin, written to establish his priority over Leibnitz in the invention of the calculus.--J. Norton, 2006.",N/A,N/A,en
Advanced Calculus,"['Angus Ellis Taylor', 'William Robert Mann']",1972,['Mathematics'],"Outlines theory and techniques of calculus, emphasizing strong understanding of concepts, and the basic principles of analysis. Reviews elementary and intermediate calculus and features discussions of elementary-point set theory, and properties of continuous functions.",N/A,N/A,en
