title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Life of Cleopatra,['Kathleen Connors'],2013-12-30,['Juvenile Nonfiction'],"Cleopatra was perhaps the most powerful queen of her time and is certainly one of the best known today. Her influence over the history of the Roman Empire, exerted through her relationships with powerful men like Caesar and Mark Antony, cannot be denied, though historians don't know much else about her life. Readers are introduced to the intrigue and excitement surrounding the last queen of Egypt as they encounter other significant historical figures. Age-appropriate language and content allow readers to understand a politically fraught time period, while historical images take them back to the death of ancient Egypt.",N/A,N/A,en
The Ancient Chronology of Western Asia and Egypt,['Petrus Emmanuel van der Meer'],1947,['Ancient'],N/A,N/A,N/A,en
An Archaeological Guide to Walking Hadrian’s Wall from Bowness-on-Solway to Wallsend (West to East),['M. C. Bishop'],2013,['Ancient'],"This is an informative (yet informal) description of the route of Hadrian's Wall and all the remains that can still be seen. For most of the route from west to east, it follows the Hadrian's Wall National Trail Footpath, but with an important difference: where the path veers off the line of the Wall, this account stays with it and allows you to examine the remains most other walkers do not see (and most other guidebooks do not describe). Profusely illustrated with more than 100 photographs and plans, it is the perfect archaeological companion to your walk along Hadrian's Wall, regardless of whether you take it with you on your ebook reader or smartphone, or prefer to sit in the comfort of your favourite armchair and let others experience the rain and blisters whilst you enjoy the text and pictures.",N/A,N/A,en
Vanished Cities,['Hermann Schreiber'],1958,['Extinct cities'],N/A,N/A,N/A,en
Early Man and the First Nations,['Charles Frederick Strong'],1961,['Ancient'],N/A,N/A,N/A,en
Historia de la decadencia y caída del Imperio Romano Tomo I,"['Edward Gibbon', 'Luis Alberto Romero']",2012-01-23,['History'],"Primero de la nueva edición íntegra, en cuatro volúmenes y especialmente ideada para su facil manejo por parte del lector con mapas e índice de contenidos, de este gran clásico de la historiografía concebido según los cánones del espíritu de la Ilustración. En este primer tomo (años 96 a 438) se narran, entre otros hechos, el esplendor de la época de los antoninos, la fundación de Constantinopla, la conversión del emperador Constantino y el establecimiento de Iglesia católica. Edward Gibbon, Inglaterra 1737-1794. El llamado ""Voltaire Inglés"" fue el gran historiador de la civilización romana. Además de su magna Historia e la decadencia y caída del Imperio Romano -a la que dedicó quince años de su vida y que se hizo famosa por la calidad e ironía de su prosa-, escribió un Ensayo sobre el estudio de la literatura. Resultó de gran influencia para autores posteriores como Isaac Asimov, que se inspiró Gibbon para su saga de la Fundación, o Winston Churchill, quien basó su propio estilo literario en el de Gibbon.",N/A,N/A,es
"L'art de vérifier les dates des faits historiques, des inscriptions, des chroniques, et autres anciens monuments, avant l'ère Chrétienne par le moyen d'une table chronologique ...",[],1819,['Ancient'],N/A,N/A,N/A,fr
Die Antike,['Werner Wilhelm Jaeger'],1940,['Ancient'],N/A,N/A,N/A,de
Legio VIIII Hispana La verdadera historia jamás contada de la Legión IX Hispana,['Pablo Martín Tharrats'],2015-10-20,['Fiction'],"Existen historias que la Historia tiene escondidas. Misterios que nadie conoce, ya que han caído en el olvido de los tiempos. En Legio VIIII Hispana desvelaré una parte de la Historia olvidada por la humanidad, concretamente un secreto custodiado durante siglos por el Grupo VIIII. En Legio VIIII Hispana podrás conocer la respuesta a preguntas como estas: ¿por qué los romanos construyeron en Britania el muro de Adriano, ¿es cierta la leyenda que cuenta que la Legio VIIII Hispana desapareció misteriosamente tras ser atacada por muertos, ¿por qué no nos cuentan toda la verdad",N/A,N/A,es
Введение в теоретическую поэтику средневековой восточнославянской книжности,['Любовь Викторовна Левшун'],2009,['Ancient'],N/A,N/A,N/A,ru
Древняя русская литература XI--XVII веков,['Александр Сергеевич Орлов'],2014,['Russian literature'],N/A,N/A,N/A,ru
Opera philologica,['Яков Маркович Боровский'],2009,['Ancient'],N/A,N/A,N/A,la
A Game of Senet,['Kylie Quillinan'],2024-03-20,['Fiction'],"In a place where loyalty can become a double-edged sword, Kassaya learns that the art of forming alliances is the true currency of survival. A spellbinding tale of power, passion and peril set against the grandeur of Egypt's 20th Dynasty.",N/A,N/A,en
Hawk of the West (Hardback Version),['Kylie Quillinan'],2024-09-20,['Fiction'],N/A,N/A,N/A,en
"Dragon, Book 1",['Mel Bridges'],2024,[],N/A,N/A,N/A,en
For the Love of Armin.,['Michael Kramer'],2017-05-27,[],"In September of the year 9 A.D., the young Germanic warrior known as Armin to his friends and Arminius to his Roman enemies, successfully took on and defeated three entire Roman legions. This resulted in the deaths of over twenty thousand Roman soldiers. This in turn resulted in the Roman emperor called Tiberius recalling all Roman military units from Germania. The Germanic tribes would associate for their common good, often meeting and forming up for offensive or defensive war, but they were always separate and very independent. Armin knew that the best way to ensure that his country was not bothered by outside invaders again was to become a single country complete with it own army and navy. In this he crossed swords with the independent temper of his own people. They did not want any king from anywhere telling them what to do. In due course, this resulted in even the members of his own family taking up arms against him in order to make sure that the tribes of Germania remained independent and free. Such was the concern of the ancient Germanic tribesmen that this might not be the case, that Armin was murdered by the members of his own family.",N/A,N/A,en
Champion Standing,['Mark Gardner'],2014-12-22,[],"One man struggles to live honorably in a world filled by men without honor. Disgraced Chinese warrior, Liao, is a mercenary for the Kingdom of Kush. In an unprecedented decision, the Chancellor of the Han Dynasty has permitted Liao to fight in a tournament against the best warriors the empire has to offer. His mere presence in the epic event could restore Liao and his clan to their former place of honor. Liao's foes claim he has no place in the prestigious tournament. Some want his defeat in the arena, while others wish him dead by any means necessary. If Liao hopes to triumph, he must evade assassination attempts, best other competitors, and expose the plots of a Roman general bent on disrupting the tournament and plunging the Han Dynasty into civil war. Champion Standing is a fantasy novel blending non-stop action and memorable characters in a tale of betrayal and redemption. Novel - 50,000 words - approximately 170 pages.",N/A,N/A,en
Trust and Trickery - Hivites,['Christine Dillon'],2024-02-09,['Fiction'],"Everyone he loves is about to be annihilated. When Danel is suddenly orphaned, his childhood dream of becoming a warrior is lost in the relentless grind of running the family bakery. To make matters worse, his grandfather's mind has fled and he keeps disturbing the peace with prophecies of doom. Prophecies that seem destined to come true when a vast army encamps on the borders of Canaan. Who are these people and why does their god command them to wipe out everyone as they enter Danel's homeland? The men of Danel's city are proud of their fighting ability but it soon becomes clear that no battle can succeed against the god who conquered Pharaoh's armies. Seeking reassurance, Danel turns to a famous fortune teller but she only confirms the terrifying future of his grandfather's vision. Yet Danel can't just give up and accept his fate. But what can a mere baker do to save his family, his city, and his people?",N/A,N/A,en
"Ancient History of Egypt, Assyria and Babylonia",['Elizabeth Missing Sewell'],1878,['Ancient'],N/A,N/A,N/A,en
Celtic History & Mythology for Kids,['History Brought Alive'],2023-10-11,[],"Step into a world of ancient wonders, where brave warriors, mythical creatures, and powerful gods roam the lands! Dive into Celtic History & Mythology with this Captivating Book for Young Readers! It will help them to develop strong reading skills It will introduce them to positive character traits It will foster an appreciation for the rich Celtic heritage And it is perfect for introducing to children of all ages Through vivid storytelling, history and beautiful tales this book transports children to the misty hills, lush forests, and mystical realms.... Here they will meet legends like Cú Chulainn, the valiant warrior and ancient deities, such as Danu, the mother goddess, and Lugh, the god of light and skill. As the pages turn, young readers will be captivated by epic battles, quests for hidden treasures, and encounters with extraordinary creatures. The book not only delves into mythology but it also highlights the culture, facts and the amazing history of the Celts. Here is a small peek inside of what you will discover inside: Exploring the Celtic Timeline, from Ancient Legends to Modern Wonders Epic Heroes & Enchanting Legends: The Children of Lir, Cú Chulainn, Finn MacCool, Oisín, and many more Magical Rhythms & Toe-Tapping Beats: Celtic Music and Dance Mighty Deities & Enchanting Tales: Discover The Celtic Gods & Goddesses Explore Famous Celtic Landmarks - Stonehenge, Blarney Castle, The Cliffs of Moher and more Celtic Art & Symbols - Trinity Knot, Celtic Love Knot, Claddagh and more Celtic Mythical Creatures, Fairies & Pixies, Banshees, Leprechauns and more Exploring Celtic Culture Today in Scotland, Ireland, Wales, Cornwall, Isle of Man, Brittany, Galicia, and Asturias And much, much more... Learn all about Celtic History & Mythology for Kids with This Book.",N/A,N/A,en
When the Longships Came,['Ross Richdale'],2010-02,['Fiction'],"In 865AD Vikings attack the female Bramingham Monastery in the Kingdom of Northumbria. The building is looted with everything of value taken by the pagans, Abbess Jane and senior nuns are slaughtered and the younger nuns abducted into slavery. Maiden Kendra, minding the monastery sheep on the top plateau during the attack survives. One other survivor, postulant Jolene finds her and together they return to the monastery. Secrets are discovered that both help and hinder, including secret tunnels, a mine and evidence of clandestine trading with Vikings. Refugees from an nearby village are welcomed but Kendra is attacked by a villager and finds her feelings confused. A knight from the King's army arrives but is as ruthless as the Vikings. He is driven from Bramingham but places the monastery under siege. With winter coming there is every chance that they will be starved into submission.",N/A,N/A,en
AN APPROACH TO THE METAPHYSICS OF PLATO THROUGH THE PERMENIDES.,['William F. Lynch'],1959,['Ancient'],N/A,N/A,N/A,en
Mitología Griega,['Javier Martínez'],2019-12-05,[],"En «Mitología griega» se describen más de cien mitos sobre dioses, semidioses, monstruos y héroes mitológicos del panteón heleno con base en las obras clásicas, como las de Homero, Hesíodo, Esquilo, Sófocles y Eurípides. El lector podrá conocer las diferentes aventuras de cada héroe o dios, así como encontrar la manera en que otros personajes están relacionados.Además, el libro se ilustra con las obras de grandes pintores, como Botticelli, Rubens y De Goya, así como con piezas arqueológicas.Este libro forma parte de la Colección Transparente, la cual incluye obras literarias del canon clásico completas y de trama fiel al original, pero adaptadas al español moderno para facilitar la comprensión del lector del siglo XXI. Cada libro de la colección incluye una evaluación en línea para el lector y una evaluación de comprensión lectora descargable para el docente; dicha evaluación aborda las competencias interpretativa, argumentativa y propositiva.",N/A,N/A,es
Azul terreno,['Jaime Aumente'],2016,[],N/A,N/A,N/A,es
Dominar El Estilo de Vida Estoica,['Andreas Athanas'],2020-11-09,[],"Cómo buscar la paz en la mente, el cuerpo y el espíritu al incorporar la filosofía griega del estoicismo, aún cuando sientas que tu vida está fuera de control. La vida moderna es trepidante, caótica y muchas veces nos tiene en una montaña rusa. Tenemos problemas manteniéndonos de pie ya que estamos atados a las redes sociales, la constante comparación, la necesidad de ser exitoso y la falta de moderación. Si estás listo para que la locura termine, no estás solo. De hecho, incluso los antiguos griegos buscaron la manera de implementar la simplicidad de nuevo en sus vidas. Si estás cansado de luchar contra el mundo y estás listo para adoptar los beneficios del estoicismo, has encontrado el libro indicado. Estoicismo en la Vida Moderna - Dominar el estilo de vida estoico: mejora tu fortaleza mental, autodisciplina y productividad con la sabiduría del antiguo estoico pronto se volverá tu manual preferido en su recorrido de la vida estoica. No solo aprenderá la fascinante historia del estoicismo y sus increíbles maestros, también encontrará ejemplos prácticos y de situaciones reales que te permitirán aplicar los ideales del estoicismo incluso en la sociedad de hoy en día. En este libro aprenderás: Cómo el estoicismo se aplica en la vida moderna La filosofía del estoicismo Marcus Aurelius, Seneca y Epictetus, los pensantes más influyentes del estoicismo Dónde aplicar el estoicismo en tu vida diaria Influencia del estoicismo en la mente Cómo se ve el estoicismo en el mundo de hoy en día ¡Y mucho más! Cuando la vida te da caos, transfórmalo a paz con la ayuda del estoicismo. No puedes basarte en que las cosas van a ser más fáciles, pero puedes basarte en las enseñanzas del estoicismo para ayudarte a dominar tus emociones, reinar tus miedos y enfrentar la realidad con una sonrisa. Una vida emocionalmente satisfecha está al alcance. Presiona ""agregar al carrito"" para tomar acción y aprender cómo los secretos del estoicismo te pueden llevar a un mejor mañana.",N/A,N/A,es
走遍中国旅游手册,[],2024,['Ancient'],N/A,N/A,N/A,zh-CN
Eskiçağ Anadolu'sunda beslenme (M.Ö II . Bin yılın sonuna kadar),['Ebru Acar'],2019,['Agriculture'],N/A,N/A,N/A,tr
Antik çağ resim sanatı,"['Ahmet Özer', 'Danışman: Prof. Dr. Celal Şimşek', 'T.C. Pamukkale Üniversitesi Sosyal Bilimler Enstitüsü Arkeoloji Anabilimdalı']",2010,['Ancient'],N/A,N/A,N/A,tr
Disparos desde el trapecio,['Luis Palop'],2016,[],N/A,N/A,N/A,es
Historisch-geographischer Atlas der alten Welt,[],1854,[],N/A,N/A,N/A,de
