title,authors,publishedDate,categories,description,averageRating,textSnippet
Tales from Earthsea,['Ursula K. Le Guin'],2002,['Fiction'],"Exploring the legend of Earthsea's history, people, languages, literature, and magic, this collection of four magical stories is now available in a paperback edition.",4,N/A
The Fellowship of the Ring,['John Ronald Reuel Tolkien'],2001,['Fiction'],The first book in the Lord of the rings trilogy.,5,N/A
The Silver Chair,['Clive Staples Lewis'],1998,['Juvenile Fiction'],"Two English children undergo hair-raising adventures as they go on a search and rescue mission for the missing Prince Rilian, who is held captive in the underground kingdom of the Emerald Witch.",N/A,N/A
Moominland Midwinter,['Tove Jansson'],1971,['Juvenile Nonfiction'],"Everyone knows that the Moomins sleep through the winter, but this year Moomintroll discovers that winter is worth waking up for after all.",N/A,N/A
Harry Potter and the Deathly Hallows,['J. K. Rowling'],2007,['Juvenile Fiction'],"At a time when the forces of evil seem to be gaining the upper hand, Harry comes of age in the wizarding world, and must take on and defeat Voldemort--or be killed himself.",4.5,N/A
The Wonderful Wizard of Oz,['Lyman Frank Baum'],1999,['Fiction'],"The Wonderful Wizard of Oz remains one of the world's most beloved and widely read books. Throughout a century of remarkable change, the popularity of L. Frank Baum's classic tale has endured and grown, embraced by generation after generation of children and the young at heart. To honour the centennial of its publication in 1900, the University Press of Kansas is presenting this special anniversary edition that combines Baum's original text with the contributions of two renowned artists: book illustrator Michael McCurdy and writer Ray Bradbury. The book embraces and celebrates the oft-kidded connection between Baum's wondrous story and the state of Kansas.",N/A,N/A
The Dark Tower VII,['Stephen King'],2004-09-21,['Fiction'],Sams Local 11-7-2004 $35.00.,4,N/A
The Wizard of Oz,['L. Frank Baum'],2009,['Fiction'],".0000000000This is the story of Dorothy and her little dog Toto, who are carried away from Kansas by a cyclone and transported to the wonderful world of Oz. She meets three companions - the Scarecrow, the Tin Woodman and the Cowardly Lion - and the three journey to the Emerald City of Oz to ask the Wizard of Oz to give them their hearts' desires, which in Dorothy's case is to return home to Kansas. On their way to Oz and while fulfilling the tasks that the surprising Wizard asks of them they encounter witches, winged monkeys, the Deadly Desert, fighting trees and magic shoes.This edition is evocatively illustrated with the original drawings of W. W. Denslow, with an Afterword by Ned Halley.",5,N/A
Harry Potter and the Philosopher's Stone,['J. K. Rowling'],1997,['Juvenile Fiction'],"Harry Potter is an ordinary boy who lives in a cupboard under the stairs at his Aunt Petunia and Uncle Vernon's house, which he thinks is normal for someone like him who's parents have been killed in a 'car crash'. He is bullied by them and his fat, spoilt cousin Dudley, and lives a very unremarkable life with only the odd hiccup (like his hair growing back overnight!) to cause him much to think about. That is until an owl turns up with a letter addressed to Harry and all hell breaks loose! He is literally rescued by a world where nothing is as it seems and magic lessons are the order of the day. Read and find out how Harry discovers his true heritage at Hogwarts School of Wizardry and Witchcraft, the reason behind his parents mysterious death, who is out to kill him, and how he uncovers the most amazing secret of all time, the fabled Philosopher's Stone! All this and muggles too. Now, what are they?",4.5,N/A
Peter Pan,['James Matthew Barrie'],2008,['Fiction'],"The adventures of the three darling children in Never-Never Land with Peter Pan, the boy who would not grow up.",N/A,N/A
The Lives of Christopher Chant,['Diana Wynne Jones'],2000,['Juvenile Fiction'],"The childhood of Chrestomanci. Everything in this book happens at least twenty-five years before the story told in Charmed Life... Discovering that he has nine lives and is destined to be the next 'Chrestomanci' is not part of Christopher's plans for the future: he'd much rather play cricket and wander around his secret dream worlds. But he soon finds that destiny is difficult to avoid, and that having more than the usual number of lives is pretty inconvenient - especially when you lose them as easily as he does! Then an evil smuggler, known only as The Wraith, threatens the ways of the worlds and forces Christopher to take action...",N/A,N/A
Fablehaven,['Brandon Mull'],2007-04-24,['Juvenile Fiction'],Kendra and Seth find themselves in the midst of a battle between good and evil when they visit their grandparents' estate and discover that it is a sanctuary for magical creatures.,4.5,N/A
The Farthest Shore,['Ursula K. Le Guin'],2012-09-11,['Juvenile Fiction'],"When the prince of Enlad declares the wizards have forgotten their spells, Ged sets out to test the ancient prophecies of Earthsea.",N/A,N/A
James and the Giant Peach,['Roald Dahl'],2001,['Juvenile Fiction'],"When James Henry Trotter accidentally drops some magic crystals by the old peach tree, strange things start to happen. The peach at the top of the tree begins to grow, and before long it's as big as a house. Then James discovers a secret entranceway into the fruit, and when he crawls inside, he meets a bunch of marvelous oversized friends -- Old-Green-Grasshopper, Centipede, Ladybug, Miss Spider, and more. After years of feeling like an outsider in the house of his despicable Aunt Sponge and Aunt Spiker, James has finally found a place where he belongs. With a snip of the stem, the peach starts rolling away, and the exciting adventure begins!",5,N/A
The Little Prince,[],1971,['Juvenile Fiction'],"An aviator, whose plane is forced down in the Sahara Desert, encounters a little man from a small planet who describes his adventures in the universe, seeking the secret of what is really important in life.",4.5,N/A
The Wonderful Wizard of Oz,['L. Frank Baum'],2024-09-17,['Fiction'],"After a cyclone transports her to the land of Oz, Dorothy must seek out the great wizard in order to return to Kansas.",N/A,N/A
The Black Cauldron,['Lloyd Alexander'],1980,['Juvenile Fiction'],"""Taran, the gallant Assistant Pig-keeper, and his companions once again fare forth to destroy the evil that threatens their beloved country, Prydain.... A wise and wondrous tale written in epic fashion."" --Booklist",N/A,N/A
Prince Caspian,['Clive Staples Lewis'],1995,['Children'],Four children help Prince Caspian and his army of Talking Beasts to free Narnia from evil.,N/A,N/A
Where the Wild Things are,['Maurice Sendak'],1963,['Juvenile Fiction'],"Max is sent to bed without supper and imagines sailing away to the land of Wild Things, where he is made king. Winner, 1964 Caldecott MedalNotable Children's Books of 1940-1970 (ALA)1981 Boston Globe-Horn Book Award for Illustration1963, 1982 Fanfare Honor List (The Horn Book)Best Illustrated Children's Books of 1963, 1982 (NYT)A Reading Rainbow Selection1964 Lewis Carroll Shelf AwardChildren's Books of 1981 (Library of Congress)1981 Children's Books (NY Public Library)100 Books for Reading and Sharing 1988 (NY Public Library)",N/A,N/A
The Amazing Maurice and His Educated Rodents,['Terry Pratchett'],2001,['Cats'],"A talking cat, intelligent rats, and a strange boy cooperate in a Pied Piper scam until they try to con the wrong town and are confronted by a deadly evil rat king.",N/A,N/A
Bridge to Terabithia,['Katherine Paterson'],1979,['Juvenile Fiction'],"One of the most celebrated Newbery Medal winners of all time gets a magical makeover in this new edition, complete with a reader's guide that's ideal for teachers, book clubs, or anyone looking for insight into this favorite book.",N/A,N/A
The Borrowers,['Mary Norton'],1953,['Juvenile Fiction'],"Miniature people live in an old country house and provide for themselves by ""borrowing"" things from the humans until they are forced to emigrate from their home under the clock.",4,N/A
The Fantastic Flying Books of Mr. Morris Lessmore,['William Joyce'],2012-06-19,['Juvenile Fiction'],"Morris Lessmore loved words. He loved stories. He loved books. But every story has its upsets. Everything in Morris Lessmore's life, including his own story, is scattered to the winds. But the power of story will save the day.",1,N/A
Harry Potter and the Chamber of Secrets,['J. K. Rowling'],1999,['Juvenile Fiction'],"Witchcraft, wizardry - fiction.",5,N/A
"The Lion, the Witch and the Wardrobe",['C. S. Lewis'],1983,['Juvenile Nonfiction'],"Four English school children enter the magic land of Narnia through the back of a wardrobe and assist Aslan, the golden lion, in defeating the White Witch who has cursed the land with eternal winter.",N/A,N/A
Finn Family Moomintroll,['Tove Jansson'],2010-04-27,['Juvenile Fiction'],"Moomintroll and his friends, Snufkin and Sniff, find a hat with magical powers.",N/A,N/A
The Story of Doctor Dolittle,['Hugh Lofting'],2005-01-17,['Juvenile Fiction'],"An abridged version of the adventures of a kind-hearted doctor, who is fond of animals and understands their language, as he travels to Africa with some of his favorite pets to cure the monkeys of a terrible sickness.",N/A,N/A
Comet in Moominland,['Tove Jansson'],2010-04-27,['Juvenile Fiction'],"Moomintroll and his friend, Sniff, have many adventures while on their way to consult the professors at the observatory in the Lonely Mountains about the approaching comet.",N/A,N/A
The Illustrated Man,['Ray Bradbury'],1951,['Fiction'],Eighteen science fiction stories.,N/A,N/A
The Brothers Lionheart,['Astrid Lindgren'],1985,['Juvenile Nonfiction'],"Two brothers share many adventures after their death when they are reunited in Nangiyala, the land where sagas come from.",N/A,N/A
The Magicians of Caprona,['Diana Wynne Jones'],2000,['Juvenile Fiction'],"In the worlds of Chrestomanci, anything can happen. This adventure takes place in the Italian Dukedom of Caprona, where spells are as slippery and as tricksy as spaghetti Casa Montana and Casa Petrocchi look after the magical business in the Dukedom of Caprona, watched over by its magnificent guardian statue, the Angel. The families have been feuding for years, so when all the spells start going wrong, each naturally blames the other. Then young Tonino Montana and Angelica Petrocchi disappear. Could the terrible rumours of a White Devil who threatens Caprona be true after all?",N/A,N/A
Tales from Moominvalley,['Tove Jansson'],2010-08-31,['Juvenile Fiction'],9 stories about the Moomins and their friends. Grades 4-6.,N/A,N/A
Sea Fairies,['L. Frank Baum'],2012-07-16,['Fiction'],"Nobody, said Cap'n Bill solemnly, ""ever sawr a mermaid an' lived to tell the tale."" ""Why not?"" asked Trot, looking earnestly up into the old sailor's face. They were seated on a bench built around a giant acacia tree that grew just at the edge of the bluff. Below them rolled the blue waves of the great Pacific. A little way behind them was the house, a neat frame cottage painted white and surrounded by huge eucalyptus and pepper trees. Still farther behind that - a quarter of a mile distant but built upon a bend of the coast - was the village, overlooking a pretty bay.",N/A,N/A
"Over Sea, Under Stone",['Susan Cooper'],1965,['Fiction'],"Like many adventures, this one begins with a holiday in Cornwall, the discovery of an ancient map and a search for an Arthurian treasure. But Simon, Jane and Barney soon realize that dark forces are at work to prevent them releasing King Arthur's power for good once more.",N/A,N/A
Moominpappa at Sea,['Tove Jansson'],2010-10-26,['Juvenile Fiction'],"Feeling his family's life is too safe and fixed, Moominpappa moves them to a lighthouse on an island to lead a life full of troubles, and indeed they find many mysteries in that lonely place.",N/A,N/A
Pippi Goes Aboard,['Astrid Lindgren'],1977,['Juvenile Fiction'],"First published: O.U.P., 1956.",N/A,N/A
Moominvalley in November,[],1971,['Autumn'],"Winter's approach brings six friends together in Moominvalley where, in the Moomins' absence, they must visit with each other.",N/A,N/A
The Wind in the Willows,['Kenneth Grahame'],1989,['Juvenile Fiction'],"The escapades of four animal friends who live along a river in the English countryside--Toad, Mole, Rat, and Badger.",N/A,N/A
Moominsummer Madness,['Tove Jansson'],2010-04-27,['Juvenile Fiction'],A flood hits Moomin Valley and triggers a series of adventures for the Moomins. Illustrations.,N/A,N/A
Lightning Thief,['Rick Riordan'],2013-07-04,['Adventure stories'],"Percy Jackson and the Lightning Thief is the first bestselling book in Rick Riordan's phenomenally successful Percy Jackson series. Half boy. Half God. ALL Hero. Look, I didn't want to be a half-blood. I never asked to be the son of a Greek God. I was just a normal kid, going to school, playing basketball, skateboarding. The usual. Until I accidentally vaporized my maths teacher. Now I spend my time battling monsters and generally trying to stay alive. This is the one where Zeus, God of the Sky, thinks I've stolen his lightning bolt - and making Zeus angry is a very bad idea. ----- Rick Riordan has now sold an incredible 55 million copies of his books worldwide 'It's Buffy meets Artemis Fowl. Thumbs up' Sunday Times ----- Books by Rick Riordan: The Percy Jackson series: Percy Jackson and the Lightning Thief Percy Jackson and the Sea of Monsters Percy Jackson and the Titan's Curse Percy Jackson and the Battle of the Labyrinth Percy Jackson and the Last Olympian Percy Jackson: The Demigod Files The Heroes of Olympus series: The Lost Hero The Son Of Neptune The Mark of Athena The Heroes of Olympus: The Demigod Files The Kane Chronicles series: The Red Pyramid The Throne of Fire The Serpent's Shadow The Magnus Chase series: Magnus Chase and the Sword of Summer Magnus Chase and the Hammer of Thor Magnus Chase and the Ship of the Dead The Trials of Apollo series: The Dark Prophecy The Hidden Oracle The Burning Maze",4.5,N/A
Pippi in the South Seas,['Astrid Lindgren'],1959,['Juvenile Fiction'],"The adventures of the strongest girl in the world, who takes her two friends with her when she travels from Sweden to visit her father, king of an island in the South Seas.",N/A,N/A
The Assassin's Blade,['Sarah J. Maas'],2014,['Juvenile Fiction'],"Celaena Sardothien is Adarlan's most feared assassin. As part of the Assassins' Guild, her allegiance is to her master, Arobynn Hamel, yet Celaena listens to no one and trusts only her fellow killer-for-hire, Sam. In these action-packed prequel novellas - together in one edition for the first time - Celaena embarks on five daring missions. They take her from remote islands to hostile deserts, where she fights to liberate slaves and seeks to avenge the tyrannous. But she is acting against Arobynn's orders and could suffer an unimaginable punishment for such treachery ...Explore the dark underworld of this kick-ass heroine and find out how the legend begins in the five page-turning prequel novellas to the New York Times bestselling Throne of Glass series.",5,N/A
Winnie-the-Pooh,['Alan Alexander Milne'],1961,['Juvenile Fiction'],"Little ones who love Winnie-the-Pooh and terrific textures to touch and feel will delight in this year's Winnie-the-Pooh's Touch and Feel. On every sturdy page, baby will have endless interactive fun with ten tactile elements, ranging from Pooh's sticky honey to Piglet's rubbery red balloon to a mirror displaying Tigger's stripy reflection. The youngest Pooh admirers won't be able to keep their hands off this charming book, filled with Ernest H. Shepard's bright and lively full-color artwork and classic vignettes from A. A. Milne's timeless volumes-and the mirth and merriment of Winnie-the-Pooh.",N/A,N/A
Bridge to Terabithia,['Katherine Paterson'],1980,['Bullying'],"Thisis the story of a special friendship between a two lonely children, Jess and Leslie. Together they create an imaginary land called Terabithia, which they reach by swinging over a creek on a rope. In this wonderland they seek escape from the difficulties of the real world and also learn how to cope. Until one day, tragedy strikes andtheir imaginary world is seemingly torn apart forever.",N/A,N/A
Quidditch Through the Ages,['J. K. Rowling'],2009-01-01,['Juvenile Fiction'],"Did you know that: there are 700 ways of committing a foul in Quidditch? The game first began to evolve on Queerditch Marsh? What Bumphing is? That Puddlemere United is oldest team in the Britain and Ireland league? (Founded 1163.) All this information and much more could be yours once you have read this book: this is all you could ever need to know about the history, the rules - and the breaking of the rules - of the noble wizarding sport of Quidditch.",4.5,N/A
The Ice Dragon,['George R. R. Martin'],2014-10-21,['Juvenile Fiction'],"A tale of courage and sacrifice set in the world of the #1 New York Times bestselling series A Song of Ice and Fire, basis for HBO's megahit Game of Thrones",N/A,N/A
The Little Prince,[],2000,['Juvenile Fiction'],"An aviator whose plane is forced down in the Sahara Desert encounters a little prince from a small planet who relates his adventures in seeking the secret of what is important in life. Howard's new translation of this beloved classic beautifully reflects Saint-Exupery's unique, gifted style. Color and b&w illustrations.",4,N/A
Harry Potter and the Half-Blood Prince,['J. K. Rowling'],2005,['Juvenile Fiction'],"Sixth-year Hogwarts student Harry Potter gains valuable insights into the boy Voldemort once was, even as his own world is transformed by maturing friendships, schoolwork assistance from an unexpected source, and devastating losses.",N/A,N/A
Harry Potter and the Sorcerer's Stone,['J. K. Rowling'],1999,['Juvenile Fiction'],"Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School for Witchcraft and Wizardry.",5,N/A
Harry Potter and the Prisoner of Azkaban,['J. K. Rowling'],2000,['Juvenile Fiction'],"During his third year at Hogwarts School for Witchcraft and Wizardry, Harry Potter must confront the devious and dangerous wizard responsible for his parents' deaths.",N/A,N/A
The Wizard of Oz,['Lyman Frank Baum'],1992-09,['Fiction'],"Dorothy and her dog, Toto, must go to the Emerald City to ask the Wizard for help to get back home after a cyclone transports them to the land of Oz.",N/A,N/A
The City of Ember,['Jeanne DuPrau'],2003,['Juvenile Fiction'],"In the year 241, twelve-year-old Lina trades jobs on Assignment Day to be a Messenger to run to new places in her decaying but beloved city, perhaps even to glimpse Unknown Regions.",4,N/A
Howl's Moving Castle,['Diana Wynne Jones'],2009,['Juvenile Fiction'],A new look for one of Diana Wynne Jones' funniest and most popular novels.,N/A,N/A
Nils,['Selma Lagerlof'],2000,['Fiction'],"Selfish and lazy, fourteen-year-old Nils learns kindness and wisdom after he is bewitched into an elf-sized boy and carried off by a barnyard goose to join the migration of wild geese across Sweden to Lapland.",N/A,N/A
Stardust,['Neil Gaiman'],2005,['Courtship'],"Stardust is an enchanting and enthralling novel from Sunday Times bestseller and master storyteller Neil Gaiman. 'Charming in every sense of the word, and deeply satisfying' (Time Out), it will delight fans of Terry Pratchett and J.R.R. Tolkien's The Hobbit, as well as those who loved the feature film starring Robert De Niro, Claire Danes, Rupert Everett and Michelle Pfeiffer among others. Life moves at a leisurely pace in the tiny town of Wall - named after the imposing stone barrier which separates the town from a grassy meadow. Here, young Tristran Thorn has lost his heart to the beautiful Victoria Forester and for the coveted prize of her hand, Tristran vows to retrieve a fallen star and deliver it to his beloved. It is an oath that sends him over the ancient wall and into a world that is dangerous and strange beyond imagining . . . Includes extra material exclusive to this Headline edition.",N/A,N/A
Harry Potter and the Goblet of Fire,['J.K. Rowling'],2000-07-08,['Juvenile Fiction'],"Young wizard-in-training Harry Potter prepares for a competition between Hogwarts School of Magic and two rival schools, develops a crush on Cho Chang, and wishes above all to be a normal fourteen-year-old.",N/A,N/A
A Court of Thorns and Roses,['Sarah J. Maas'],2015,['Fiction'],"A gorgeously written tale as lush and romantic as it is ferocious ... Absolutely spellbinding - New York Times bestselling author Alexandra BrackenFeyre is a huntress. And when she sees a deer in the forest being pursued by a wolf, she kills the predator and takes its prey to feed herself and her sisters. But the wolf was not what it seemed, and Feyre cannot predict the high price she will have to pay for its death ...Dragged away from her family for the murder of a faerie, Feyre discovers that her captor, his face obscured by a jewelled mask, is hiding even more than his piercing green eyes suggest. As Feyre's feelings for Tamlin turn from hostility to passion, she learns that the faerie lands are a far more dangerous place than she realized. And Feyre must fight to break an ancient curse, or she will lose him forever.Sarah J. Maas is a global #1 bestselling author. Her books have sold more than nine million copies and been translated into 37 languages. Discover the sweeping romantic fantasy for yourself.Contains mature content. Not suitable for younger readers.",5,N/A
The Hobbit,['J. R. R. Tolkien'],2001-09,['Juvenile Fiction'],"Chronicles the adventures of Bilbo Baggins, who embarks on a quest to reclaim stolen treasure from the dragon Smaug, along with his dwarve companions and the wizard Gandalf, and unwittingly returns to the Shire with a Ring of Power.",N/A,N/A
The Tales of Beedle the Bard,['J. K. Rowling'],2008,['Fiction'],"'And As For This Book,' Said Hermione, The Tales Of Beedle The Bard... I&Rsquo;Ve Never Even Heard Of Them!' 'You&Rsquo;Ve Never Heard Of The Tales Of Beedle The Bard?' Said Ron Incredulously. 'You'Re Kidding, Right?' (Taken From Harry Potter And The Deathly Hallows) Bloomsbury, In Association With The Children'S High Level Group, Is Delighted To Announce The Tales Of Beedle The Bard, The First New Book From J. K. Rowling Since The Publication Of The Final Book In The Harry Potter Series, Harry Potter And The Deathly Hallows. The Tales Of Beedle The Bard, Played A Crucial Role In Assisting Harry, Aided By His Friends Ron And Hermione, To Finally Defeat Lord Voldemort. Fans Will Be Thrilled To Have This Opportunity To Read The Tales In Full. The Tales Of Beedle The Bard Is Without Doubt An Exciting Addition To The Canon Of Harry Potter. They Also Reveal The Wonderful Versatility Of The Author, As She Tackles With Relish The Structure And Varying Tones Of A Classic Fairy Tale. There Are Five Tales Included In The Book: 'The Tale Of The Three Brothers', Which Is Recounted In Harry Potter And The Deathly Hallows; Plus Four More &Mdash; 'The Fountain Of Fair Fortune', 'The Warlock'S Hairy Heart', 'The Wizard And The Hopping Pot', And 'Babbitty Rabbitty And Her Cackling Stump'. Each Tale Has Its Own Magical Character And Will Variously Bring Delight, Laughter And The Thrill Of Mortal Peril. The Tales Of Beedle The Bard, Translated From The Original Runes By Hermione Granger, Is Introduced And Illustrated By J. K. Rowling. Also Included Are Notes On The Stories By Professor Albus Dumbledore, Which Appear By Generous Permission Of The Hogwarts Headmasters' Archive.",4.5,N/A
The Ickabog,['J. K. Rowling'],2020-11-10,['Juvenile Fiction'],"As the legend of the fearsome Ickabog spreads terror in the peaceful kingdom of Cornucopia, best friends Bert and Daisy set out to discover the truth and bring happiness back to the kingdom.",N/A,N/A
The Last Battle,['Clive Staples Lewis'],1956,['Children'],"When evil comes to Narnia, Jill and Eustace help fight the great last battle and Aslan leads his people to a glorious new paradise.",N/A,N/A
The Neverending Story,"['Michael Ende', 'Ralph Manheim']",1985,"[""Children's stories""]","Small, fat Bastian Balthazar Bux is nobody's idea of a hero, least of all his own, until he finds himself stepping through the pages of a mysterious book into the world of Fantastica! Age 9+ 148 pages",N/A,N/A
El principito,['Antoine de Saint-Exupéry'],2001,['Juvenile Fiction'],"Uno de los cls̀icos de la literatura para niǫs, que en el criterio de muchos debe ser led̕o y comentado por un adulto, pero tambiň un indiscutible libro para adultos. Mediante la figura de un principito que vive en su propio asteroide, el autor trata sobre los valores humanos y enseąnzas para la vida.",4.5,N/A
Around the World in Eighty Days,['Jules Verne'],1984,['Fiction'],"Depicts the adventures of Phineas Fogg and his manservant, Passepartout, on their journey around the world in the late nineteenth century",N/A,N/A
The School for Good and Evil,['Soman Chainani'],2013,['Juvenile Nonfiction'],"THE SCHOOL FOR GOOD AND EVIL is now a major motion picture from Netflix, starring Academy Award winner Charlize Theron, Kerry Washington, Laurence Fishburne, Michelle Yeoh, Cate Blanchett, and many more! A dark and enchanting fantasy adventure for those who prefer fairytales with a twist... The first in the bestselling series. Every four years, two girls are kidnapped from the village of Gavaldon. Legend has it these lost children are sent to the School for Good and Evil, the fabled institution where they become fairytale heroes or villains. With her glass slippers and devotion to good deeds, Sophie knows she'll join the ranks of past students like Cinderella, Rapunzel, and Snow White at the School for Good. Meanwhile, Agatha, with her shapeless black dresses and wicked black cat, seems a natural fit for the villains in the School for Evil. But the two girls soon find their fortunes reversed - Sophie's dumped in the School for Evil to take Uglification, Death Curses and Henchmen Training, while Agatha finds herself in the School for Good, thrust among handsome princes and fair maidens for classes in Princess Etiquette and Animal Communication. But what if the mistake is actually the first clue to discovering who Sophie and Agatha really are?",4.5,N/A
The Cat in the Hat,['Dr. Seuss'],2012,['Juvenile Fiction'],The Cat in the Hat entertains two children on a rainy day.,4,N/A
Watership Down,['Richard Adams'],1973,['Fiction'],"Heroic rabbits trek from their poisoned warren to a new home. Long, complex and totally absorbing.",5,N/A
The Story of Doctor Dolittle,[],1997,['Juvenile Fiction'],"Docotr Doolittle is a scholar of all animal languages, he travels to Africa to help the monkeys there an dhas many animal adventures.",N/A,N/A
Lucinda's Secret,"['Tony DiTerlizzi', 'Holly Black']",2003-10,['Juvenile Fiction'],"With goblins, trolls, and the house boggart all trying to get them, the Grace children turn to Great Aunt Lucinda for help.",3.5,N/A
The Field Guide,"['Tony DiTerlizzi', 'Holly Black']",2003-05,['Juvenile Fiction'],When the Grace children go to stay at their great-aunt and other creatures and begin to have some unusual experiences.,4,N/A
Throne of Glass,['Sarah J. Maas'],2012,['Fiction'],"A hugely commercial, fabulously addictive fantastical romp - from an author with top-notch digital self-publishing pedigree and legions of fans awaiting publication",N/A,N/A
Alice's Adventures in Wonderland,['Lewis Carroll'],1994,['Juvenile Fiction'],"Grade level: 3, 4, 5, 6, 7, p, e.",N/A,N/A
Eragon,['Christopher Paolini'],2006,['Juvenile Fiction'],"14 Compact Discs; 16 hours, 23 minutes; unabridged Audio CD.",5,N/A
The Subtle Knife,['Philip Pullman'],2007,['Juvenile Fiction'],"As the boundaries between worlds begin to dissolve, Lyra and her daemon help Will Parry in his search for his father and for a powerful, magical knife.",5,N/A
Pinocchio,['Carlo Collodi'],1974,[],The adventures of a talking wooden puppet whose nose grew longer whenever he told a lie.,N/A,N/A
