title,authors,publishedDate,categories,description,averageRating,textSnippet
The Hardy Boys #6: Hyde & Shriek,"['Scott Lobdell', 'Daniel Rendon']",2006-07-25,['Comics & Graphic Novels'],Frank and Joe Hardy struggle to keep murder off the menu at Manhattan's mysterious Jekyll and Hyde Club.,3,N/A
Jimmy Corrigan: The Smartest Kid on Earth,['Chris Ware'],2003-04-29,['Comics & Graphic Novels'],"The first and now critically-acclaimed book from Chicago artist Chris Ware. A lonely and emotionally impaired everyman, Jimmy Corrigan, the Smartest Kid on Earth, is provided with the opportunity to meet his father for the first time when he is 36 years old. The story, set in 1890s Chicago and 1980s small-town Michigan, is told in hundreds of small, precisely drawn panels that regularly expand to reveal stunning draughtsmanship, and supported by fold-out instructions, an index, paper cutouts and beautifully drawn period adverts.",N/A,N/A
The Time Travel Trap,['Dan Jolley'],2008,['Juvenile Fiction'],Another book in the graphic novel series which lets the reader create the action by choosing which plot path to follow.,N/A,N/A
Nancy Drew #7: The Charmed Bracelet,"['Stefan Petrucha', 'Carolyn Keene']",2006-11-28,['Juvenile Nonfiction'],"Nancy and Ned the perfect couple, right? But what happens when Ned turns Bad Boy?",5,N/A
Astronauts,"['David West', 'Jim Robins']",2008-01-15,['Juvenile Nonfiction'],Sketches featuring three famous astronauts presented in graphic novel format accompany information about the requirements for the job of astronaut.,N/A,N/A
Good Talk,['Mira Jacob'],2018,['Biography & Autobiography'],"A ""beautiful and eye-opening"" (Jacqueline Woodson), ""hilarious and heart-rending"" (Celeste Ng) graphic memoir about American identity, interracial families, and our most difficult conversations, from the acclaimed author of The Sleepwalker's Guide to Dancing. NAMED ONE OF THE TEN BEST BOOKS OF THE YEAR BY THE NEW YORK PUBLIC LIBRARY AND PUBLISHERS WEEKLY AND ONE OF THE BEST BOOKS OF THE YEAR BY The New York Times Book Review - Time - Esquire - Library Journal ""How brown is too brown?"" ""Can Indians be racist?"" ""What does real love between really different people look like?"" Like many six-year-olds, Mira Jacob's half-Jewish, half-Indian son, Z, has questions about everything. At first they are innocuous enough, but as tensions from the 2016 election spread from the media into his own family, they become much, much more complicated. Trying to answer him honestly, Mira has to think back to where she's gotten her own answers: her most formative conversations about race, color, sexuality, and, of course, love. Written with humor and vulnerability, this deeply relatable graphic memoir is a love letter to the art of conversation--and to the hope that hovers in our most difficult questions. Praise for Good Talk ""Emphasizes the complexities of being part of an interracial family and the struggles of parenting in the present moment.""--Time ""Good Talk uses a masterful mix of pictures and words to speak on life's most uncomfortable conversations.""--io9 ""Mira Jacob just made me toss everything I thought was possible in a book-as-art-object into the garbage. Her new book changes everything.""--Kiese Laymon, New York Times bestselling author of Heavy",N/A,N/A
BMX Breakthrough,['Carl Bowen'],2011-07,['Juvenile Nonfiction'],"Bill lost his grip while doing a Superman and slammed into the concrete. Now, he's afraid to take flight.",N/A,N/A
Secret Agents,"['Gary Jeffrey', 'Terry Riley']",2008-01-15,['Juvenile Nonfiction'],"Illustrated in bold, graphic novel style, this title in Rosen's Graphic Careers series presents three real-life scenarios involving secret agents.",N/A,N/A
The Great Cow Race,['Jeff Smith'],2005-08,['Graphic'],"In THE GREAT COW RACE, volume 2 of this 9-book epic, Fone Bone and his cousins plan to return home after visiting the village of Barrelhaven with Thorn and Gran'ma Ben. But Phoney risks everything on one last get-rich-quick scheme for the town's annual Great Cow Race. As usual, Phoney's plans go disastrously awry, and Boneville seems further away than ever. Meanwhile, ominous signs indicate that a war is brewing, and Fone finds himself helping his friends defend their valley from a formidable enemy.",N/A,N/A
Mary Shelley's Frankenstein,[],2005,['Juvenile Fiction'],A monster assembled by a scientist from parts of dead bodies develops a mind of his own as he learns to loathe himself and hate his creator. Kids.,N/A,N/A
Ethel & Ernest,['Raymond Briggs'],2003-02,['England'],"""... the story of Raymond Briggs's parents from their first chance encounter to their deaths, told in Briggs's unique strip-cartoon format."" -- Flyleaf.",N/A,N/A
Maus: And here my troubles began,['Art Spiegelman'],1992,['Children of Holocaust survivors'],"An autobiographical and biographical cartoon in which the author explores his strained relationship with his father, an Auschwitz survivor, while also relating the story of his parent's experiences as Jews in wartime Poland, as told to him by his dad during a series of conversations they had years later in New York and Vermont.",N/A,N/A
Bone,['Jeff Smith'],2008,['Bone (Fictitious character)'],"The Bone cousins, Gran'ma Ben, and a baby rat creature travel through fields of mysterious ghost circles to rescue Princess Thorn.",N/A,N/A
Race Car Drivers,"['David West', 'Geoff Ball', 'Peter Wilks']",2008-01-15,['Juvenile Nonfiction'],Sketches featuring three famous race car drivers presented in graphic novel format accompany information about the history of automobile racing and requirements for the job of race car driver.,N/A,N/A
Nancy Drew #8: Global Warning,"['Stefan Petrucha', 'Carolyn Keene']",2007-03-06,['Juvenile Nonfiction'],"Will Nancy Drew save the world, or destroy it?",3,N/A
The Alien from Outer Space,"['Erica Farber', 'John R. Sansevere', 'Mercer Mayer']",2006,['Juvenile Fiction'],The Critter Kids gather around the camp fire to listen to the story about what happened during the town's blackout.,N/A,N/A
End Zone Thunder,['Scott Ciencin'],2010-08,['Juvenile Nonfiction'],"Hank Thunder Wilde and Jonas Lightning Fine are total opposites. Jonas is flashy, while Hank lets his booming hits do the talking. However, both teens have one thing in common -- their competition to become team captain is hurting the Cyclones' run at the state championship. Will Thunder and Lightning rip the Cyclones apart, or will the two wide receivers come together to create the perfect offensive storm?",N/A,N/A
Maus: My father bleeds history,['Art Spiegelman'],1986,['Children of Holocaust survivors'],"Maus recounts the chilling experiences of the author’s father during the Holocaust, with Jews drawn as wide-eyed mice and Nazis as menacing cats.",N/A,N/A
Soccer Longshot,['C. J. Renner'],2011-07,['Juvenile Nonfiction'],"Matty hasn't improved his soccer skills in a while, so he switches things up by playing some street ball.",5,N/A
The Jaguar Paw Puzzle,"['Erica Farber', 'John R. Sansevere', 'Mercer Mayer']",2006,['Archaeology'],"In the South American fainforest, the Critter Kids visit an archaeological dig in Mayan ruins. They discover that a priceless jade statue has been stolen.",N/A,N/A
The Swamp Thing,"['Erica Farber', 'John R. Sansevere', 'Mercer Mayer']",2006,['Adventure stories'],The Critter Kids visit Snake Hill Swamp Sanctuary where LC saves Roger after he falls in the water with the Swamp Thing. Includes fact boxes.,N/A,N/A
Hernán Cortés,['David West'],2005-01-15,['Biography & Autobiography'],"1 CopyEngage your students as they develop their inference, comprehension, and vocabulary skills through this high-interest, graphic nonfiction reader. The content is correlated to national Social Studies curriculum standards.",N/A,N/A
Golden Eagle,"['Erica Farber', 'John R. Sansevere', 'Mercer Mayer']",2006,['Desert animals'],An adventure on a Native American desert preserve.,N/A,N/A
Twisted Journeys 8,['Dan Jolley'],2008-08-01,['Juvenile Fiction'],"For use in schools and libraries only. As the hero of a graphic novel whose spaceship is stranded on Planet J for repairs, the reader is asked to make choices throughout the story to avoid being annihilated by three gruesome aliens.",N/A,N/A
"The Hardy Boys #5: Sea You, Sea Me!","['Scott Lobdell', 'Daniel Rendon']",2006-04-18,['Comics & Graphic Novels'],"""Based on the series by Franklin W. Dixon.""",N/A,N/A
The Terror Trail,['Stewart Ross'],2007,['Juvenile Fiction'],"The story of two Mauritanian children whose father's service to Rome had earned him citizenship, but were sold into slavery anyway.",N/A,N/A
The Price of Victory,['Stewart Ross'],2007,['Juvenile Nonfiction'],"The story of eleven-year-old Pylades whose brother is to represent Athens in the Race-in-Armor at the Olympic Games and is favored to win. His leading competitor, however, is determined to earn the glory for his city-state of Sparta--at any cost.",N/A,N/A
Old Man's Cave,['Jeff Smith'],2007,['Bone (Fictitious character)'],"The adventure starts when cousins Fone Bone, Phoney Bone, and Smiley Bone are run out of Boneville and later get separated and lost in the wilderness, meeting monsters and making friends as they attempt to return home.",N/A,N/A
Neon Genesis Evangelion,['Yoshiyuki Sadamoto'],1998,['Juvenile Fiction'],"Neon Genesis Evangelion is the most controversial -- and some say the best -- anime of the decade. Set in the year 2015 when humanity faces a terrifying last judgment from mysterious giant ""Angels, "" the series has been acclaimed for its original story line, direct psychological content, and self-referential examination of the genre.",N/A,N/A
Gladiator and the Story of the Coliseum,['Nicholas Saunders'],2006-10-15,['Graphic'],"Turn the page and take a step back in time! From theStories From Historyseries,Gladiators and the Story of the Colosseumtakes a completely factual look at The Roman Colosseum, the largest amphitheater in the Roman empire. This book is presented in a fast-paced, edgy graphic novel format including bright, action-packed scenes. The Colosseum set the stage for making people famous or leading them to their deaths. Inside the walls, huge battles were waged among gladiators, animals, and prisoners, all seen by thousands of spectators. Today, only a shell of the Colosseum – Rome’s symbol of violent spectacles – remains.Gladiators and the Story of the Colosseumis sure to capture any reader’s attention and turn even the most casual reader into a history buff! Features: • Full-Color illustrations • Fact Boxes • Timeline, glossary, and index Tales from the past meet modern-day storytelling! Epic battles, secret plots, and brave warriors await readers in the nonfictionStories From Historyseries. Discover history in a fast-paced format, taking readers right to the action! History has never been this exciting! Check out the other titles in this series!",N/A,N/A
